Total Accelerators,Watts / CPU+GPU TDP,Dataset
8,0.9558941504178272,Inference
8,0.9496963788300836,Inference
8,0.9099192200557104,Inference
8,0.8544763231197772,Inference
8,0.9099192200557104,Inference
8,0.8544763231197772,Inference
8,0.9525208913649026,Inference
8,0.9453342618384402,Inference
16,0.8311575757575758,Inference
16,0.8253939393939395,Inference
16,0.7295272727272727,Inference
16,0.7364666666666667,Inference
16,0.9287212121212122,Inference
16,0.8174424242424242,Inference
16,0.9133939393939392,Inference
16,0.9052242424242424,Inference
5,0.7138048780487805,Inference
5,0.6899349593495935,Inference
5,0.6633821138211382,Inference
5,0.6466829268292683,Inference
5,0.7991219512195121,Inference
5,0.7878211382113821,Inference
5,0.7791056910569105,Inference
5,0.7587317073170732,Inference
8,0.945595238095238,Inference
8,0.9412142857142856,Inference
8,0.8812857142857142,Inference
8,0.8617142857142858,Inference
8,0.9808690476190476,Inference
8,0.986595238095238,Inference
8,0.989095238095238,Inference
8,0.9845238095238096,Inference
4,0.7070425531914893,Inference
4,0.7070425531914893,Inference
4,0.8845035460992908,Inference
4,0.8868439716312057,Inference
4,0.8884326241134752,Inference
4,0.8784184397163121,Inference
4,0.879822695035461,Inference
4,0.8673191489361702,Inference
4,0.879822695035461,Inference
4,0.8673191489361702,Inference
4,0.8044822695035461,Inference
4,0.808354609929078,Inference
4,0.7071205673758865,Inference
4,0.6987375886524823,Inference
4,0.7975460992907801,Inference
4,0.7869078014184397,Inference
8,0.6524877192982456,Inference
8,0.6524877192982456,Inference
8,0.8286000000000001,Inference
8,0.7498350877192983,Inference
8,0.8316666666666667,Inference
8,0.7515859649122807,Inference
8,0.8140175438596491,Inference
8,0.7333964912280702,Inference
8,0.8140175438596491,Inference
8,0.7333964912280702,Inference
8,0.7702140350877194,Inference
8,0.7717684210526315,Inference
8,0.6528561403508772,Inference
8,0.7318491228070175,Inference
8,0.7372947368421052,Inference
8,0.7348561403508772,Inference
8,0.6971143695014662,Inference
8,0.6971143695014662,Inference
