gpu_model_clean,voll_usd_per_mwh_inf_median,voll_spot_usd_per_mwh_inf_median,instance_type,flex_discount_usd_per_mwh,flex_discount_pct_of_ondemand
L4,13057.902973395932,6752.347417840376,g6.24xlarge,6305.555555555557,48.289189837008635
L4,11393.939393939394,6587.412587412588,g6.2xlarge,4806.526806526806,42.184942716857606
L4,13057.902973395932,6591.64710485133,g6.48xlarge,6466.255868544602,49.519864573346126
L4,12389.513108614232,6264.981273408241,g6.4xlarge,6124.531835205991,49.433192261185
L4,13537.63440860215,7753.360215053763,g6.8xlarge,5784.274193548388,42.727362986497226
L4,10687.915006640103,5099.601593625498,g6.xlarge,5588.313413014605,52.28628230616301
L40S,7570.41847041847,3319.76911976912,g6e.12xlarge,4250.64935064935,56.14814250042887
L40S,15687.784679089027,3878.053830227743,g6e.16xlarge,11809.730848861283,75.27978672860687
L40S,9964.021164021164,2693.253968253968,g6e.24xlarge,7270.7671957671955,72.97021028037382
L40S,6672.916666666668,2943.452380952381,g6e.2xlarge,3729.4642857142867,55.8895678158869
L40S,9964.021164021164,3143.253968253968,g6e.48xlarge,6820.7671957671955,68.45396134239591
L40S,8415.126050420167,3502.240896358543,g6e.4xlarge,4912.885154061624,58.38159909460089
L40S,11349.874686716792,3568.4210526315787,g6e.8xlarge,7781.453634085214,68.55981981186238
L40S,5717.3579109062985,2729.953917050691,g6e.xlarge,2987.4039938556075,52.25147770016121
L4,12768.817204301076,5532.258064516129,g6f.2xlarge,7236.559139784948,56.67368421052632
L4,12768.817204301076,6014.784946236558,g6f.4xlarge,6754.032258064518,52.894736842105274
L4,15131.0861423221,4232.209737827716,g6f.large,10898.876404494384,72.02970297029702
L4,12768.817204301076,5086.021505376344,g6f.xlarge,7682.795698924732,60.16842105263158
GB202,6695.838383838383,2215.919191919192,g7e.12xlarge,4479.919191919191,66.90602334029276
GB202,6695.838383838383,2111.555555555555,g7e.24xlarge,4584.282828282829,68.46465767972872
GB202,5939.249448123621,1826.2251655629136,g7e.2xlarge,4113.024282560707,69.25158336058995
GB202,6695.818181818181,2371.555555555555,g7e.48xlarge,4324.262626262625,64.58154192425243
GB202,6748.016877637131,2001.350210970464,g7e.4xlarge,4746.666666666667,70.34165374418488
GB202,8167.751937984497,2278.449612403101,g7e.8xlarge,5889.302325581396,72.10432405755286
L4,14411.985018726593,6550.561797752809,gr6.4xlarge,7861.423220973784,54.54781704781705
L4,16440.860215053763,8911.962365591398,gr6.8xlarge,7528.897849462364,45.79381948986265
L4,14327.956989247312,5881.720430107526,gr6f.4xlarge,8446.236559139787,58.94934333958726
Inf1,3122.354497354497,717.6587301587301,inf1.24xlarge,2404.695767195767,77.01546282567253
Inf1,3497.584541062802,892.7536231884058,inf1.2xlarge,2604.8309178743966,74.47513812154696
Inf1,3121.693121693121,580.1587301587301,inf1.6xlarge,2541.534391534391,81.41525423728814
Inf1,2666.6666666666665,540.3508771929824,inf1.xlarge,2126.315789473684,79.73684210526316
Inf2,8195.20202020202,4490.277777777777,inf2.24xlarge,3704.924242424242,45.20845530459434
Inf2,8195.265151515152,6424.747474747475,inf2.48xlarge,1770.5176767676767,21.604153667198197
Inf2,11309.770114942528,5446.551724137931,inf2.8xlarge,5863.218390804597,51.842065145586666
Inf2,7544.278606965174,1539.3034825870648,inf2.xlarge,6004.975124378109,79.5964125560538
V100,10234.11371237458,1825.8779264214045,p3.16xlarge,8408.235785953175,82.15890522875817
V100,10234.11371237458,1139.1304347826087,p3.2xlarge,9094.983277591971,88.86928104575163
V100,10234.11371237458,1465.8026755852843,p3.8xlarge,8768.311036789295,85.67728758169935
V100,12041.666666666666,2846.875,p3dn.24xlarge,9194.791666666666,76.35813148788927
A100,6911.425873465533,3355.90179414542,p4d.24xlarge,3555.5240793201133,51.44414690130069
A100,8639.313818067358,4721.9074598678,p4de.24xlarge,3917.406358199558,45.343952548720985
H100,9927.849927849928,5360.155122655122,p5.48xlarge,4567.694805194806,46.00890261627907
H100,10238.09523809524,5706.547619047619,p5.4xlarge,4531.547619047621,44.261627906976756
H200,11315.991776168768,3299.6156252793417,p5en.48xlarge,8016.376150889427,70.84112740141558
B200,14550.80459770115,3853.065134099617,p6-b200.48xlarge,10697.739463601532,73.51991700370745
B300,16656.842105263157,3557.0760233918127,p6-b300.48xlarge,13099.766081871345,78.64495562296372
Inf1,13729.75734355045,3034.4827586206898,trn1.2xlarge,10695.274584929759,77.89849680011906
Inf1,13729.246487867178,3976.500638569604,trn1.32xlarge,9752.745849297575,71.03627906976745
Inf1,15823.754789272032,3013.7292464878674,trn1n.32xlarge,12810.025542784166,80.954398708636
