date,voll_mean,voll_min,voll_max,obs_count
2025-12-24,7902.65029239766,7846.643274853802,7990.795321637426,5
2025-12-25,7782.962962962963,7721.660818713451,7837.497076023391,3
2025-12-26,7587.298245614034,7546.280701754386,7632.760233918128,4
2025-12-27,7426.259649122806,7366.643274853801,7493.812865497076,5
2025-12-28,7310.315789473684,7272.807017543859,7364.046783625731,4
2025-12-29,7088.980506822612,6958.269005847953,7226.80701754386,6
2025-12-30,6913.473684210527,6883.298245614035,6942.538011695906,3
2025-12-31,6831.699805068226,6819.672514619882,6845.649122807017,3
2026-01-01,6754.216374269005,6710.491228070175,6818.269005847953,4
2026-01-02,6680.339181286549,6660.245614035087,6699.461988304093,3
2026-01-03,6522.902534113061,6438.6549707602335,6587.999999999999,6
2026-01-04,6351.8011695906425,6309.520467836257,6393.672514619883,4
2026-01-05,6152.313450292398,6058.900584795322,6248.12865497076,5
2026-01-06,5987.12865497076,5928.046783625731,6057.6140350877195,4
2026-01-07,5836.576023391813,5755.941520467835,5909.076023391813,4
2026-01-08,5673.270955165692,5639.567251461988,5700.327485380117,3
2026-01-09,5491.345029239766,5491.345029239766,5491.345029239766,1
2026-01-10,5452.269005847953,5429.497076023391,5488.7602339181285,3
2026-01-11,5333.918128654971,5257.076023391813,5406.643274853801,4
2026-01-12,5209.029239766081,5174.900584795321,5256.116959064327,3
2026-01-13,5061.33567251462,5027.438596491228,5122.046783625731,5
2026-01-14,4958.266081871345,4904.339181286549,5026.8421052631575,4
2026-01-15,4816.078947368421,4778.3625730994145,4844.959064327485,4
2026-01-16,4717.587719298245,4684.538011695906,4743.929824561404,4
2026-01-17,4620.611111111111,4574.713450292397,4681.450292397661,4
2026-01-18,4531.687134502924,4505.555555555556,4572.163742690058,4
2026-01-19,4421.277777777777,4371.40350877193,4474.783625730994,4
2026-01-20,4283.563352826511,4261.894736842105,4318.421052631578,3
2026-01-21,4237.675438596491,4197.017543859649,4256.970760233919,4
2026-01-22,4144.122807017544,4124.690058479532,4177.1345029239765,4
2026-01-23,4045.5614035087715,3999.1812865497072,4075.3099415204674,4
2026-01-24,3968.0,3947.286549707602,3982.5380116959063,3
2026-01-25,3865.0584795321633,3829.0058479532163,3910.0350877192977,4
2026-01-26,3781.8830409356724,3755.0760233918127,3805.2163742690054,3
2026-01-27,3684.5450292397663,3663.4385964912276,3724.9356725146195,5
2026-01-28,3616.0194931773876,3585.625730994152,3632.362573099415,3
2026-01-29,3519.809941520468,3491.2631578947367,3568.3859649122805,4
2026-01-30,3423.7738791423,3403.5087719298244,3452.8070175438593,3
2026-01-31,3380.148148148148,3352.6081871345027,3398.736842105263,3
2026-02-01,3301.6491228070176,3266.549707602339,3315.345029239766,5
2026-02-02,3207.675438596491,3178.409356725146,3236.9356725146195,4
2026-02-03,3122.2713450292395,3076.4444444444443,3162.0,5
2026-02-04,3040.2339181286548,3010.7602339181285,3053.5555555555557,4
2026-02-05,2969.66081871345,2965.941520467836,2975.2865497076023,3
2026-02-06,2939.9883040935674,2909.3567251461986,2965.754385964912,4
2026-02-07,2859.143859649123,2835.029239766082,2886.035087719298,5
2026-02-08,2807.267056530214,2783.742690058479,2826.6198830409357,3
2026-02-09,2736.2280701754385,2715.426900584795,2769.5204678362575,4
2026-02-10,2671.964912280702,2651.5672514619882,2693.3801169590643,3
2026-02-11,2602.3011695906434,2562.2807017543855,2639.356725146199,4
2026-02-12,2529.354385964912,2522.5730994152045,2551.66081871345,5
2026-02-13,2515.452631578947,2509.40350877193,2523.578947368421,5
2026-02-14,2508.736842105263,2505.906432748538,2513.06432748538,4
2026-02-15,2520.9395711500974,2516.736842105263,2527.7894736842104,3
2026-02-16,2538.391812865497,2533.345029239766,2543.438596491228,2
2026-02-17,2563.7076023391814,2557.461988304093,2568.4444444444443,3
2026-02-18,2586.5877192982457,2572.058479532164,2600.8187134502923,4
2026-02-19,2605.4824561403507,2601.1812865497077,2609.438596491228,4
2026-02-20,2614.5380116959063,2609.4152046783624,2618.783625730994,3
2026-02-21,2628.915204678363,2623.8947368421054,2632.6198830409357,4
2026-02-22,2628.0146198830407,2624.7017543859647,2631.4152046783624,4
