API Name,GPU model,Physical Processor,GPUs,vCPUs,On Demand Filled,gpu_model_clean,cpu_model_clean,gpu_count,vcpu_count,price_usd_per_hour,gpu_tdp_w_per_gpu,gpu_power_w_per_gpu_at_util,total_gpu_power_w,cpu_tdp_w_package,threads_per_package,cpu_tdp_w_per_vcpu,cpu_power_w_per_vcpu_at_util,total_cpu_power_w,total_power_w,total_power_mw,voll_usd_per_mwh,gpu_mapping_status,cpu_mapping_status,cpu_source_type,cpu_source_name,cpu_source_note
g6.12xlarge,NVIDIA L4,AMD EPYC 7R13 Processor,4.0,48 vCPUs,4.6016,L4,AMD EPYC 7R13 Processor,4.0,48.0,4.6016,72,64.8,259.2,280.0,96.0,2.9166666666666665,1.4583333333333333,70.0,329.2,0.0003292,13978.128797083842,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6.16xlarge,NVIDIA L4,AMD EPYC 7R13 Processor,1.0,64 vCPUs,3.3968,L4,AMD EPYC 7R13 Processor,1.0,64.0,3.3968,72,64.8,64.8,280.0,96.0,2.9166666666666665,1.4583333333333333,93.33333333333333,158.13333333333333,0.00015813333333333332,21480.607082630693,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6.24xlarge,NVIDIA L4,AMD EPYC 7R13 Processor,4.0,96 vCPUs,6.6752,L4,AMD EPYC 7R13 Processor,4.0,96.0,6.6752,72,64.8,259.2,280.0,96.0,2.9166666666666665,1.4583333333333333,140.0,399.2,0.0003992,16721.442885771543,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6.2xlarge,NVIDIA L4,AMD EPYC 7R13 Processor,1.0,8 vCPUs,0.9776,L4,AMD EPYC 7R13 Processor,1.0,8.0,0.9776,72,64.8,64.8,280.0,96.0,2.9166666666666665,1.4583333333333333,11.666666666666666,76.46666666666667,7.646666666666666e-05,12784.655623365301,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6.48xlarge,NVIDIA L4,AMD EPYC 7R13 Processor,8.0,192 vCPUs,13.3504,L4,AMD EPYC 7R13 Processor,8.0,192.0,13.3504,72,64.8,518.4,280.0,96.0,2.9166666666666665,1.4583333333333333,280.0,798.4,0.0007984,16721.442885771543,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6.4xlarge,NVIDIA L4,AMD EPYC 7R13 Processor,1.0,16 vCPUs,1.3232,L4,AMD EPYC 7R13 Processor,1.0,16.0,1.3232,72,64.8,64.8,280.0,96.0,2.9166666666666665,1.4583333333333333,23.333333333333332,88.13333333333333,8.813333333333333e-05,15013.615733736762,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6.8xlarge,NVIDIA L4,AMD EPYC 7R13 Processor,1.0,32 vCPUs,2.0144,L4,AMD EPYC 7R13 Processor,1.0,32.0,2.0144,72,64.8,64.8,280.0,96.0,2.9166666666666665,1.4583333333333333,46.666666666666664,111.46666666666667,0.00011146666666666667,18071.77033492823,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6.xlarge,NVIDIA L4,AMD EPYC 7R13 Processor,1.0,4 vCPUs,0.8048,L4,AMD EPYC 7R13 Processor,1.0,4.0,0.8048,72,64.8,64.8,280.0,96.0,2.9166666666666665,1.4583333333333333,5.833333333333333,70.63333333333333,7.063333333333332e-05,11394.053798961775,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6e.12xlarge,NVIDIA L40S,AMD EPYC 7R13 Processor,4.0,48 vCPUs,10.4926,L40S,AMD EPYC 7R13 Processor,4.0,48.0,10.4926,350,315.0,1260.0,280.0,96.0,2.9166666666666665,1.4583333333333333,70.0,1330.0,0.00133,7889.172932330826,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
g6e.16xlarge,NVIDIA L40S,AMD EPYC 7R13 Processor,1.0,64 vCPUs,7.5772,L40S,AMD EPYC 7R13 Processor,1.0,64.0,7.5772,350,315.0,315.0,280.0,96.0,2.9166666666666665,1.4583333333333333,93.33333333333333,408.3333333333333,0.0004083333333333333,18556.408163265307,resolved,resolved,benchmark_proxy,Closest EPYC Milan custom-SKU benchmark/reference listings,AWS custom Milan part; package TDP inferred from common benchmark/reference sources.
