Name,API Name,Instance Memory,vCPUs,Memory per vCPU,GPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
NC24s v3,NC24s v3,448 GiB,24,18.67 GiB/vCPU,4X V100,1344 GiB,$12.24 hourly,,,$2.262 hourly,$13.344 hourly,,,$2.466 hourly
NC256dsxlRTX6K v6,NC256dsxlRTX6K v6,1024 GiB,256,4 GiB/vCPU,2.00,2048 GiB,,,,,,,,
NC256ldsxlRTX6K v6,NC256ldsxlRTX6K v6,512 GiB,256,2 GiB/vCPU,2.00,2048 GiB,,,,,,,,
NC320dsxlRTX6K v6,NC320dsxlRTX6K v6,1280 GiB,320,4 GiB/vCPU,2.00,2048 GiB,,,,,,,,
NC320ldsxlRTX6K v6,NC320ldsxlRTX6K v6,640 GiB,320,2 GiB/vCPU,2.00,2048 GiB,,,,,,,,
NC32ads A10 v4,NC32ads A10 v4,440 GiB,32,13.75 GiB/vCPU,2X A10,2920 GiB,,,,,,,,
NC40ads H100 v5,NC40ads H100 v5,320 GiB,40,8 GiB/vCPU,1X H100,3576 GiB,$6.98 hourly,,,$2.4912 hourly,$8.82 hourly,,,$3.1479 hourly
NC48ads A100 v4,NC48ads A100 v4,440 GiB,48,9.17 GiB/vCPU,2X A100,1916 GiB,$7.346 hourly,,,$1.4729 hourly,$9.554 hourly,,,$2.6809 hourly
NC4as T4 v3,NC4as T4 v3,28 GiB,4,7 GiB/vCPU,1X T4,180 GiB,$0.526 hourly,,,$0.1945 hourly,$0.71 hourly,,,$0.2626 hourly
NC6,NC6,56 GiB,6,9.33 GiB/vCPU,1X K80,340 GiB,$0.90 hourly,,,$0.1663 hourly,,,,
NC64as T4 v3,NC64as T4 v3,440 GiB,64,6.88 GiB/vCPU,4X T4,2880 GiB,$4.352 hourly,,,$1.6094 hourly,$7.296 hourly,,,$2.6981 hourly
NC6s v2,NC6s v2,112 GiB,6,18.67 GiB/vCPU,1X P100,336 GiB,$2.07 hourly,,,$0.3825 hourly,,,,
NC6s v3,NC6s v3,112 GiB,6,18.67 GiB/vCPU,1X V100,336 GiB,$3.06 hourly,,,$0.5655 hourly,$3.336 hourly,,,$0.6165 hourly
NC80adis H100 v5,NC80adis H100 v5,640 GiB,80,8 GiB/vCPU,2X H100,7152 GiB,$13.96 hourly,,,$4.9823 hourly,$17.64 hourly,,,$6.2957 hourly
NC8ads A10 v4,NC8ads A10 v4,110 GiB,8,13.75 GiB/vCPU,1/2X A10,730 GiB,,,,,,,,
NC8as T4 v3,NC8as T4 v3,56 GiB,8,7 GiB/vCPU,1X T4,360 GiB,$0.752 hourly,,,$0.2781 hourly,$1.12 hourly,,,$0.4142 hourly
