panel,instance_type,gpu_model_clean,gpu_vintage_group,canonical_basis_scenario,base_ondemand_voll_usd_per_mwh,gpu_class_median_voll_usd_per_mwh,distance_to_gpu_class_median,H_CUMULATIVE,U_mth,service_credit_share,voll_ondemand_incl_sla_usd_per_mwh
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,10.700000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,10.8,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,10.9,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,11.0,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,11.100000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,11.200000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,11.3,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,11.4,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,11.5,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,11.600000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,11.700000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,11.8,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,11.9,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,12.0,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,12.100000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,12.200000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,12.3,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,12.4,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,12.5,0.25,0.3,385311.9924457035
