gpu_model_clean,gpu_vintage_group,instance_type,ondemand_trng_median,ondemand_inf_median,ondemand_sla_h4p0_trng_median,ondemand_sla_h4p0_inf_median,spot_trng_median,spot_inf_median
T4G,Mainstream Modern AI,g5g.xlarge,5711.751662971174,6981.029810298102,5711.751662971174,6981.029810298102,1698.566149297856,2076.025293586269
L4,Mainstream Modern AI,g6.12xlarge,11240.101954120646,13737.90238836968,11240.101954120646,13737.90238836968,5462.744265080713,6676.687435098651
L4,Mainstream Modern AI,g6.16xlarge,13728.86597938144,16779.725085910653,13728.86597938144,16779.725085910653,5062.640581068416,6187.671821305841
L4,Mainstream Modern AI,g6.24xlarge,12286.299615877078,15016.58841940532,12286.299615877078,15016.58841940532,6353.345070422534,7765.199530516431
L4,Mainstream Modern AI,g6.2xlarge,10720.661157024791,13103.030303030306,10720.661157024791,13103.030303030306,6198.156389065479,7575.524475524478
L4,Mainstream Modern AI,g6.48xlarge,12286.299615877078,15016.58841940532,12286.299615877078,15016.58841940532,6202.140685019205,7580.394170579029
L4,Mainstream Modern AI,g6.4xlarge,11657.40551583248,14247.940074906364,11657.40551583248,14247.940074906364,5894.777834525025,7204.728464419475
L4,Mainstream Modern AI,g6.8xlarge,12737.683284457476,15568.279569892473,12737.683284457476,15568.279569892473,7295.207111436948,8916.364247311827
L4,Mainstream Modern AI,g6.xlarge,10056.35639261137,12291.10225763612,10056.35639261137,12291.10225763612,4798.2614994567175,5864.5418326693225
L40S,Mainstream Modern AI,g6e.12xlarge,7123.075560802831,8705.98124098124,7123.075560802831,8705.98124098124,3123.600944510035,3817.734487734488
L40S,Mainstream Modern AI,g6e.16xlarge,14760.779220779215,18040.95238095238,14760.779220779215,18040.95238095238,3648.8961038961024,4459.761904761905
L40S,Mainstream Modern AI,g6e.24xlarge,9375.238095238094,11458.624338624337,9375.238095238094,11458.624338624337,2534.107142857142,3097.242063492063
L40S,Mainstream Modern AI,g6e.2xlarge,6278.607954545454,7673.854166666668,6278.607954545454,7673.854166666668,2769.521103896104,3384.9702380952385
L40S,Mainstream Modern AI,g6e.48xlarge,9375.238095238094,11458.624338624337,9375.238095238094,11458.624338624337,2957.516233766233,3614.742063492063
L40S,Mainstream Modern AI,g6e.4xlarge,7917.868601986247,9677.394957983191,7917.868601986247,9677.394957983191,3295.290297937356,4027.577030812325
L40S,Mainstream Modern AI,g6e.8xlarge,10679.200273410795,13052.35588972431,10679.200273410795,13052.35588972431,3357.559808612439,4103.684210526315
L40S,Mainstream Modern AI,g6e.xlarge,5379.514034352743,6574.961597542243,5379.514034352743,6574.961597542243,2568.638458315877,3139.4470046082947
L4,Mainstream Modern AI,g6f.2xlarge,12014.29618768328,14684.139784946236,12014.29618768328,14684.139784946236,5205.351906158357,6362.096774193548
L4,Mainstream Modern AI,g6f.4xlarge,12014.29618768328,14684.139784946236,12014.29618768328,14684.139784946236,5659.3658357771255,6917.002688172042
L4,Mainstream Modern AI,g6f.large,14236.976506639428,17400.74906367041,14236.976506639428,17400.74906367041,3982.124616956077,4867.041198501872
L4,Mainstream Modern AI,g6f.xlarge,12014.29618768328,14684.139784946236,12014.29618768328,14684.139784946236,4785.4838709677415,5848.924731182796
GB202,Mainstream Modern AI,g7e.12xlarge,6300.17520661157,7700.214141414141,6300.17520661157,7700.214141414141,2084.978512396694,2548.3070707070706
GB202,Mainstream Modern AI,g7e.24xlarge,6300.17520661157,7700.214141414141,6300.17520661157,7700.214141414141,1986.781818181818,2428.288888888889
GB202,Mainstream Modern AI,g7e.2xlarge,5588.293798916314,6830.136865342163,5588.293798916314,6830.136865342163,1718.3118603251048,2100.1589403973508
GB202,Mainstream Modern AI,g7e.48xlarge,6300.156198347107,7700.190909090909,6300.156198347107,7700.190909090909,2231.418181818182,2727.288888888889
GB202,Mainstream Modern AI,g7e.4xlarge,6349.270425776754,7760.2194092827,6349.270425776754,7760.2194092827,1883.0886075949363,2301.5527426160334
GB202,Mainstream Modern AI,g7e.8xlarge,7685.112050739956,9392.91472868217,7685.112050739956,9392.91472868217,2143.813953488372,2620.2170542635654
L4,Mainstream Modern AI,gr6.4xlarge,13560.367722165473,16573.782771535578,13560.367722165473,16573.782771535578,6163.483146067415,7533.146067415729
L4,Mainstream Modern AI,gr6.8xlarge,15469.354838709676,18906.989247311827,15469.354838709676,18906.989247311827,8385.346407624633,10248.756720430109
L4,Mainstream Modern AI,gr6f.4xlarge,13481.30498533724,16477.150537634407,13481.30498533724,16477.150537634407,5534.164222873899,6763.978494623655
K80,Legacy / Older Vintage,p2.16xlarge,5664.335664335664,6923.076923076924,5664.335664335664,6923.076923076924,,
K80,Legacy / Older Vintage,p2.8xlarge,5664.335664335664,6923.076923076924,5664.335664335664,6923.076923076924,,
K80,Legacy / Older Vintage,p2.xlarge,2976.513820099057,3637.961335676626,2976.513820099057,3637.961335676626,,
V100,Transitional / Early AI,p3.16xlarge,9629.370629370627,11769.230769230771,9629.370629370627,11769.230769230771,1717.9851398601395,2099.7596153846152
V100,Transitional / Early AI,p3.2xlarge,9629.370629370627,11769.230769230771,9629.370629370627,11769.230769230771,1071.8181818181818,1310.0000000000002
V100,Transitional / Early AI,p3.8xlarge,9629.370629370627,11769.230769230771,9629.370629370627,11769.230769230771,1379.1870629370628,1685.6730769230771
V100,Transitional / Early AI,p3dn.24xlarge,11330.113636363634,13847.916666666664,11330.113636363634,13847.916666666664,2678.6505681818176,3273.9062499999995
A100,Mainstream Modern AI,p4d.24xlarge,6237.954545454543,7624.166666666666,6237.954545454543,7624.166666666666,3028.8920454545446,3701.9791666666665
A100,Mainstream Modern AI,p4de.24xlarge,7797.471590909088,9530.243055555557,7797.471590909088,9530.243055555557,4261.789772727271,5208.854166666666
H100,Mainstream Modern AI,p5.48xlarge,9341.204250295155,11417.027417027415,9341.204250295155,11417.027417027415,5043.418683589137,6164.178391053391
H100,Mainstream Modern AI,p5.4xlarge,9633.116883116882,11773.809523809525,9633.116883116882,11773.809523809525,5369.342532467532,6562.529761904762
H200,Emerging / Frontier AI,p5en.48xlarge,10647.3195348497,13013.39054259408,10647.3195348497,13013.39054259408,3104.6383383310163,3794.557969071243
B200,Emerging / Frontier AI,p6-b200.48xlarge,13690.984326018806,16733.42528735632,13690.984326018806,16733.42528735632,3625.384012539184,4431.024904214559
B300,Emerging / Frontier AI,p6-b300.48xlarge,15672.574162679424,19155.36842105263,15672.574162679424,19155.36842105263,3150.00956937799,3850.011695906432
