gpu_model_clean,voll_usd_per_mwh_inf_median,voll_spot_usd_per_mwh_inf_median,instance_type,flex_discount_usd_per_mwh,flex_discount_pct_of_ondemand,gpu_vintage_group,panel_scenario,voll_usd_per_mwh_trng_median,voll_spot_usd_per_mwh_trng_median
V100,11257.52508361204,2008.465719063545,p3.16xlarge,9249.059364548495,82.15890522875817,Transitional / Early AI,inf_median,,
V100,11257.52508361204,1253.0434782608695,p3.2xlarge,10004.48160535117,88.86928104575162,Transitional / Early AI,inf_median,,
V100,11257.52508361204,1612.3829431438128,p3.8xlarge,9645.142140468226,85.67728758169933,Transitional / Early AI,inf_median,,
V100,13245.833333333336,3131.5625000000005,p3dn.24xlarge,10114.270833333336,76.35813148788928,Transitional / Early AI,inf_median,,
A100,7602.568460812087,3691.4919735599615,p4d.24xlarge,3911.076487252126,51.444146901300705,Mainstream Modern AI,inf_median,,
A100,9503.245199874096,5194.098205854581,p4de.24xlarge,4309.146994019516,45.34395254872099,Mainstream Modern AI,inf_median,,
H100,10920.634920634922,5896.170634920635,p5.48xlarge,5024.464285714287,46.00890261627907,Mainstream Modern AI,inf_median,,
H100,11261.904761904763,6277.202380952383,p5.4xlarge,4984.702380952381,44.261627906976734,Mainstream Modern AI,inf_median,,
H200,12447.590953785646,3629.577187807277,p5en.48xlarge,8818.013765978369,70.84112740141558,Emerging / Frontier AI,inf_median,,
B200,16005.885057471263,4238.371647509579,p6-b200.48xlarge,11767.513409961684,73.51991700370745,Emerging / Frontier AI,inf_median,,
B300,18322.52631578948,3157.1929824561403,p6-b300.48xlarge,15165.33333333334,82.76879002359286,Emerging / Frontier AI,inf_median,,
Inf1,15102.733077905496,3337.931034482759,trn1.2xlarge,11764.802043422736,77.89849680011906,Transitional / Early AI,inf_median,,
Inf1,15102.171136653897,4374.150702426565,trn1.32xlarge,10728.020434227332,71.03627906976743,Transitional / Early AI,inf_median,,
Inf1,17406.13026819924,3315.1021711366543,trn1n.32xlarge,14091.028097062584,80.954398708636,Transitional / Early AI,inf_median,,
QA100,,,dl2q.24xlarge,1487.4509803921574,13.084724713674628,Mainstream Modern AI,trng_median,11367.843137254902,9880.392156862745
T4,,,g4dn.12xlarge,4008.8549618320617,67.12167689161555,Transitional / Early AI,trng_median,5972.519083969466,1963.6641221374043
T4,,,g4dn.16xlarge,5523.508771929824,72.34375,Transitional / Early AI,trng_median,7635.087719298246,2111.5789473684213
T4,,,g4dn.2xlarge,3511.698113207547,61.87499999999999,Transitional / Early AI,trng_median,5675.471698113208,2163.7735849056608
T4,,,g4dn.4xlarge,3973.3333333333335,64.35215946843854,Transitional / Early AI,trng_median,6174.358974358975,2201.025641025641
T4,,,g4dn.8xlarge,4764.375,70.06433823529412,Transitional / Early AI,trng_median,6800.0,2035.625
T4,,,g4dn.metal,3591.068702290077,60.126533742331304,Transitional / Early AI,trng_median,5972.519083969466,2381.450381679389
T4,,,g4dn.xlarge,3026.1728395061737,58.25095057034222,Transitional / Early AI,trng_median,5195.061728395062,2168.8888888888887
A10G,,,g5.12xlarge,4678.108108108108,61.03314527503526,Mainstream Modern AI,trng_median,7664.864864864865,2986.7567567567567
A10G,,,g5.16xlarge,7903.366336633665,64.9609375,Mainstream Modern AI,trng_median,12166.336633663368,4262.970297029703
A10G,,,g5.24xlarge,3975.909090909091,42.96168958742633,Mainstream Modern AI,trng_median,9254.545454545454,5278.636363636363
A10G,,,g5.2xlarge,4228.269230769231,60.47029702970298,Mainstream Modern AI,trng_median,6992.307692307692,2764.038461538461
A10G,,,g5.48xlarge,4560.056818181818,49.27369842829077,Mainstream Modern AI,trng_median,9254.545454545454,4694.488636363636
A10G,,,g5.4xlarge,4536.610169491525,54.93842364532019,Mainstream Modern AI,trng_median,8257.627118644068,3721.016949152543
A10G,,,g5.8xlarge,5103.287671232876,50.72712418300653,Mainstream Modern AI,trng_median,10060.27397260274,4956.986301369863
A10G,,,g5.xlarge,3225.154639175259,51.829025844930435,Mainstream Modern AI,trng_median,6222.680412371135,2997.5257731958764
T4G,,,g5g.16xlarge,8591.2,78.27259475218659,Mainstream Modern AI,trng_median,10976.0,2384.8
T4G,,,g5g.2xlarge,3825.6716417910447,57.625899280575545,Mainstream Modern AI,trng_median,6638.805970149254,2813.134328358209
T4G,,,g5g.4xlarge,6027.692307692307,70.97826086956522,Mainstream Modern AI,trng_median,8492.307692307691,2464.6153846153848
T4G,,,g5g.8xlarge,6498.400000000001,59.20553935860059,Mainstream Modern AI,trng_median,10976.0,4477.599999999999
T4G,,,g5g.metal,8349.2,76.06778425655978,Mainstream Modern AI,trng_median,10976.0,2626.8
T4G,,,g5g.xlarge,3838.6991869918693,70.26190476190476,Mainstream Modern AI,trng_median,5463.414634146341,1624.7154471544716
