date,voll_mean,voll_min,voll_max,obs_count,ondemand_price_usd_per_hour,voll_ondemand_historical
2025-01-20,3401.311614730878,3220.14164305949,3482.8611898016993,10,32.773,9283.966851989133
2025-01-21,3361.335803007191,3212.8895184135977,3500.0849858356937,13,32.773,9283.966851989133
2025-01-22,3427.8910922253694,3259.5184135977333,3545.7223796033995,9,32.773,9283.966851989133
2025-01-23,3400.0755429650617,3258.0453257790364,3550.14164305949,9,32.773,9283.966851989133
2025-01-24,3347.195467422096,3228.640226628895,3555.6657223796033,12,32.773,9283.966851989133
2025-01-25,3380.4403811485968,3195.8923512747874,3579.8016997167138,11,32.773,9283.966851989133
2025-01-26,3334.410764872521,3119.5467422096317,3570.028328611898,10,32.773,9283.966851989133
2025-01-27,3285.5625252934033,3067.28045325779,3502.8328611898014,14,32.773,9283.966851989133
2025-01-28,3221.6121555498326,2943.0311614730876,3456.402266288952,11,32.773,9283.966851989133
2025-01-29,3184.9480642115204,2934.5042492917846,3418.0169971671385,9,32.773,9283.966851989133
2025-01-30,3129.5881455654826,2874.2209631728047,3382.011331444759,13,32.773,9283.966851989133
2025-01-31,3108.895184135977,2880.2266288951837,3303.371104815864,11,32.773,9283.966851989133
2025-02-01,3116.103528199845,2897.28045325779,3306.0906515580737,11,32.773,9283.966851989133
2025-02-02,3083.0999595305543,2877.3654390934844,3294.1926345609068,7,32.773,9283.966851989133
2025-02-03,3058.150141643059,2835.3541076487254,3264.5042492917846,10,32.773,9283.966851989133
2025-02-04,2981.6256264981475,2807.9036827195464,3164.5609065155804,13,32.773,9283.966851989133
2025-02-05,2960.158168083097,2819.0934844192634,3122.7478753541077,12,32.773,9283.966851989133
2025-02-06,2907.1156322431107,2739.3484419263455,3060.1983002832862,11,32.773,9283.966851989133
2025-02-07,2895.280017432992,2732.1813031161473,3045.212464589235,13,32.773,9283.966851989133
2025-02-08,2915.9206798866853,2761.359773371105,3074.362606232294,11,32.773,9283.966851989133
2025-02-09,2922.915271697141,2698.9235127478755,3076.71388101983,11,32.773,9283.966851989133
2025-02-10,2912.2482616533603,2688.725212464589,3078.583569405099,11,32.773,9283.966851989133
2025-02-11,2864.8482395791175,2657.195467422096,3009.4900849858354,14,32.773,9283.966851989133
2025-02-12,2854.076959395656,2642.5779036827194,3011.4164305949007,12,32.773,9283.966851989133
2025-02-13,2846.6458923512746,2605.410764872521,2965.7790368271953,10,32.773,9283.966851989133
2025-02-14,2864.6098377543135,2646.7422096317277,2993.6260623229464,11,32.773,9283.966851989133
2025-02-15,2857.0276748747,2728.3569405099147,2986.3456090651557,13,32.773,9283.966851989133
2025-02-16,2862.364151429307,2747.28045325779,2982.5212464589235,11,32.773,9283.966851989133
2025-02-17,2830.7365439093483,2793.682719546742,2879.7450424929175,10,32.773,9283.966851989133
2025-02-18,2834.3626062322946,2805.694050991501,2870.28328611898,12,32.773,9283.966851989133
2025-02-19,2818.4702549575068,2736.71388101983,2873.966005665722,13,32.773,9283.966851989133
2025-02-20,2833.184135977337,2748.5835694050993,2886.6005665722378,10,32.773,9283.966851989133
2025-02-21,2838.6299253154775,2745.240793201133,2894.532577903683,11,32.773,9283.966851989133
2025-02-22,2826.368271954674,2758.271954674221,2896.6005665722378,10,32.773,9283.966851989133
2025-02-23,2829.0226628895184,2756.657223796034,2885.042492917847,10,32.773,9283.966851989133
2025-02-24,2798.266288951841,2755.7790368271953,2859.291784702549,10,32.773,9283.966851989133
2025-02-25,2760.881019830028,2717.5070821529744,2813.342776203966,10,32.773,9283.966851989133
2025-02-26,2769.8073654390932,2741.728045325779,2813.9943342776205,10,32.773,9283.966851989133
2025-02-27,2777.752596789424,2744.5325779036825,2801.0198300283287,12,32.773,9283.966851989133
2025-02-28,2788.0221478238473,2750.3116147308783,2810.3116147308783,11,32.773,9283.966851989133
2025-03-01,2772.9213881019828,2740.481586402266,2797.9320113314443,8,32.773,9283.966851989133
2025-03-02,2776.748280048563,2717.3087818696886,2816.685552407932,14,32.773,9283.966851989133
2025-03-03,2815.663361661945,2744.6175637393767,2872.6628895184135,12,32.773,9283.966851989133
2025-03-04,2804.352304918877,2708.668555240793,2869.433427762039,11,32.773,9283.966851989133
2025-03-05,2806.2257572455874,2715.722379603399,2884.815864022663,13,32.773,9283.966851989133
2025-03-06,2816.543909348442,2781.926345609065,2857.6487252124643,12,32.773,9283.966851989133
2025-03-07,2802.922568460812,2757.1954674220965,2847.56373937677,12,32.773,9283.966851989133
2025-03-08,2815.645119752768,2761.1898016997166,2866.657223796034,11,32.773,9283.966851989133
2025-03-09,2810.3141900592323,2766.260623229462,2901.5864022662886,11,32.773,9283.966851989133
2025-03-10,2823.9329556185075,2756.2889518413594,2916.2322946175636,12,32.773,9283.966851989133
2025-03-11,2832.5907803244913,2774.4759206798867,2898.413597733711,11,32.773,9283.966851989133
2025-03-12,2844.3582479843103,2792.096317280453,2902.8045325779035,13,32.773,9283.966851989133
2025-03-13,2834.4066729619135,2755.2691218130312,2908.5269121813026,9,32.773,9283.966851989133
2025-03-14,2846.8767705382434,2771.0198300283287,2959.915014164306,12,32.773,9283.966851989133
2025-03-15,2884.3087818696886,2794.1926345609063,3094.1926345609063,10,32.773,9283.966851989133
2025-03-16,2964.5042492917846,2818.8385269121814,3219.3484419263455,14,32.773,9283.966851989133
2025-03-17,3050.0849858356937,2844.985835694051,3322.974504249292,13,32.773,9283.966851989133
2025-03-18,3088.2861189801697,2903.7960339943343,3320.679886685552,12,32.773,9283.966851989133
2025-03-19,3084.5868744098207,2937.3087818696886,3341.6713881019828,12,32.773,9283.966851989133
2025-03-20,3089.2422096317277,2940.396600566572,3364.3909348441925,12,32.773,9283.966851989133
2025-03-21,3097.9320113314443,2969.9716713881016,3343.597733711048,9,32.773,9283.966851989133
2025-03-22,3079.169027384325,2974.1926345609068,3242.6628895184135,9,32.773,9283.966851989133
2025-03-23,3023.309296935359,2920.764872521246,3242.322946175637,11,32.773,9283.966851989133
2025-03-24,3025.7762039660056,2918.186968838527,3236.5155807365436,10,32.773,9283.966851989133
2025-03-25,2991.3902811069947,2831.784702549575,3245.552407932011,13,32.773,9283.966851989133
2025-03-26,2999.0883337625546,2846.57223796034,3240.28328611898,11,32.773,9283.966851989133
2025-03-27,2995.923040604344,2791.4164305949007,3232.124645892351,12,32.773,9283.966851989133
2025-03-28,2946.5439093484415,2795.439093484419,3163.484419263456,10,32.773,9283.966851989133
2025-03-29,2960.946175637394,2834.7592067988667,3126.7988668555236,10,32.773,9283.966851989133
2025-03-30,2938.537029542695,2826.7138810198303,3104.9008498583567,14,32.773,9283.966851989133
