date,voll_mean,voll_min,voll_max,obs_count,location,ondemand_price_usd_per_hour,voll_ondemand_historical
2025-05-03,2592.1898016997166,2254.6458923512746,2946.628895184136,10,us-east-1,32.773,9283.966851989133
2025-05-03,1524.2965061378657,1274.1359773371105,1680.3682719546741,6,us-east-2,32.773,9283.966851989133
2025-05-04,1551.1583254642744,1310.311614730878,1761.3881019830028,9,us-east-2,32.773,9283.966851989133
2025-05-04,3116.5659427132514,2990.6232294617566,3354.8158640226625,9,us-west-2,32.773,9283.966851989133
2025-05-04,2557.9999999999995,2199.8300283286117,2905.439093484419,10,us-east-1,32.773,9283.966851989133
2025-05-05,2402.9154863078375,2000.4815864022662,2855.099150141643,12,us-east-1,32.773,9283.966851989133
2025-05-05,1571.0056657223795,1339.4617563739375,1823.909348441926,8,us-east-2,32.773,9283.966851989133
2025-05-05,3164.24711266071,2963.3994334277622,3379.6600566572233,13,us-west-2,32.773,9283.966851989133
2025-05-06,1579.185552407932,1314.957507082153,1871.0764872521245,8,us-east-2,32.773,9283.966851989133
2025-05-06,3157.407932011331,3008.4702549575068,3323.626062322946,12,us-west-2,32.773,9283.966851989133
2025-05-06,2339.439723009128,1939.886685552408,2841.473087818697,9,us-east-1,32.773,9283.966851989133
2025-05-07,2242.8251352047387,1862.6628895184135,2799.773371104816,11,us-east-1,32.773,9283.966851989133
2025-05-07,3172.2379603399436,3030.1983002832862,3296.3739376770536,12,us-west-2,32.773,9283.966851989133
2025-05-07,1624.6140226628895,1289.6317280453256,1968.4985835694051,8,us-east-2,32.773,9283.966851989133
2025-05-08,2119.7167138810196,1813.3427762039657,2801.8696883852685,10,us-east-1,32.773,9283.966851989133
2025-05-08,3205.9065155807366,3034.5042492917846,3345.8640226628895,12,us-west-2,32.773,9283.966851989133
2025-05-08,1686.5828611898016,1349.1218130311615,2006.7988668555238,8,us-east-2,32.773,9283.966851989133
2025-05-09,1795.325779036827,1363.6260623229462,2088.470254957507,8,us-east-2,32.773,9283.966851989133
2025-05-09,2151.0368271954676,1739.830028328612,2810.226628895184,10,us-east-1,32.773,9283.966851989133
2025-05-09,3196.473087818697,3068.356940509915,3310.793201133144,10,us-west-2,32.773,9283.966851989133
2025-05-10,2111.055240793201,1655.127478753541,2814.3059490084984,12,us-east-1,32.773,9283.966851989133
2025-05-10,3181.4730878186965,3043.4560906515576,3322.011331444759,13,us-west-2,32.773,9283.966851989133
2025-05-10,1742.6880705067674,1416.0339943342774,2169.2634560906513,9,us-east-2,32.773,9283.966851989133
2025-05-11,3145.3314447592065,3024.5325779036825,3305.410764872521,10,us-west-2,32.773,9283.966851989133
2025-05-11,1806.5843787940103,1474.8725212464587,2223.257790368272,7,us-east-2,32.773,9283.966851989133
