gpu_model_clean,gpu_vintage_group,instance_type,ondemand_sla_h4p0_trng_median,ondemand_sla_h4p0_inf_median
GB202,Mainstream Modern AI,g7e.8xlarge,7350.976744186047,8984.527131782947
L4,Mainstream Modern AI,gr6.4xlarge,12970.786516853932,15853.183520599248
L4,Mainstream Modern AI,gr6.8xlarge,14796.77419354839,18084.946236559143
L4,Mainstream Modern AI,gr6f.4xlarge,12895.161290322583,15760.752688172046
Inf1,Transitional / Early AI,inf1.24xlarge,2810.119047619048,3434.589947089947
Inf1,Transitional / Early AI,inf1.2xlarge,3147.826086956521,3847.342995169082
Inf1,Transitional / Early AI,inf1.6xlarge,2809.523809523809,3433.862433862434
Inf1,Transitional / Early AI,inf1.xlarge,2400.0,2933.333333333334
Inf2,Mainstream Modern AI,inf2.24xlarge,7375.681818181818,9014.72222222222
Inf2,Mainstream Modern AI,inf2.48xlarge,7375.738636363636,9014.791666666666
Inf2,Mainstream Modern AI,inf2.8xlarge,10178.793103448275,12440.74712643678
Inf2,Mainstream Modern AI,inf2.xlarge,6789.850746268657,8298.706467661692
K80,Legacy / Older Vintage,p2.16xlarge,5418.060200668896,6622.0735785953175
K80,Legacy / Older Vintage,p2.8xlarge,5418.060200668896,6622.0735785953175
K80,Legacy / Older Vintage,p2.xlarge,2847.100175746925,3479.789103690686
V100,Transitional / Early AI,p3.16xlarge,9210.702341137125,11257.52508361204
V100,Transitional / Early AI,p3.2xlarge,9210.702341137125,11257.52508361204
V100,Transitional / Early AI,p3.8xlarge,9210.702341137125,11257.52508361204
V100,Transitional / Early AI,p3dn.24xlarge,10837.5,13245.833333333336
A100,Mainstream Modern AI,p4d.24xlarge,6220.28328611898,7602.568460812087
A100,Mainstream Modern AI,p4de.24xlarge,7775.382436260623,9503.245199874096
H100,Mainstream Modern AI,p5.48xlarge,8935.064935064935,10920.634920634922
H100,Mainstream Modern AI,p5.4xlarge,9214.285714285714,11261.904761904763
H200,Emerging / Frontier AI,p5en.48xlarge,10184.39259855189,12447.590953785646
B200,Emerging / Frontier AI,p6-b200.48xlarge,13095.724137931036,16005.885057471263
B300,Emerging / Frontier AI,p6-b300.48xlarge,14991.157894736842,18322.52631578948
Inf1,Transitional / Early AI,trn1.2xlarge,12356.781609195405,15102.733077905496
Inf1,Transitional / Early AI,trn1.32xlarge,12356.32183908046,15102.171136653897
Inf1,Transitional / Early AI,trn1n.32xlarge,14241.379310344828,17406.13026819924
