gpu_model_clean,gpu_vintage_group,instance_type,ondemand_sla_h3p0_trng_median,ondemand_sla_h3p0_inf_median
L40S,Mainstream Modern AI,g6e.2xlarge,41195.60950413224,50350.18939393939
L40S,Mainstream Modern AI,g6e.48xlarge,61513.41991341992,75183.06878306877
L40S,Mainstream Modern AI,g6e.4xlarge,51951.23272449475,63495.95110771581
L40S,Mainstream Modern AI,g6e.8xlarge,70069.06108245821,85639.9635452267
L40S,Mainstream Modern AI,g6e.xlarge,35296.416193776895,43140.06423683843
L4,Mainstream Modern AI,g6f.2xlarge,78828.9789389496,96346.52981427175
L4,Mainstream Modern AI,g6f.4xlarge,78828.9789389496,96346.52981427175
L4,Mainstream Modern AI,g6f.large,93412.57312656697,114170.92271024856
L4,Mainstream Modern AI,g6f.xlarge,78828.9789389496,96346.52981427175
GB202,Mainstream Modern AI,g7e.12xlarge,41337.11795642373,50523.14416896234
GB202,Mainstream Modern AI,g7e.24xlarge,41337.11795642373,50523.14416896234
GB202,Mainstream Modern AI,g7e.2xlarge,36666.275518581366,44814.33674493276
GB202,Mainstream Modern AI,g7e.48xlarge,41336.99323816679,50522.99173553719
GB202,Mainstream Modern AI,g7e.4xlarge,41659.24469086724,50916.85462217108
GB202,Mainstream Modern AI,g7e.8xlarge,50424.05535268115,61629.40098661028
L4,Mainstream Modern AI,gr6.4xlarge,88973.16371065093,108744.97786857335
L4,Mainstream Modern AI,gr6.8xlarge,101498.53372434016,124053.76344086022
L4,Mainstream Modern AI,gr6f.4xlarge,88454.41215675819,108110.94819159337
K80,Legacy / Older Vintage,p2.16xlarge,37165.20633516681,45424.14107631499
K80,Legacy / Older Vintage,p2.8xlarge,37165.20633516681,45424.14107631499
K80,Legacy / Older Vintage,p2.xlarge,19529.695420412787,23869.627736060072
V100,Transitional / Early AI,p3.16xlarge,63180.850769783574,77221.0398297355
V100,Transitional / Early AI,p3.2xlarge,63180.850769783574,77221.0398297355
V100,Transitional / Early AI,p3.8xlarge,63180.850769783574,77221.0398297355
V100,Transitional / Early AI,p3dn.24xlarge,74339.87603305785,90859.84848484847
A100,Mainstream Modern AI,p4d.24xlarge,40928.871721164214,50024.176548089585
A100,Mainstream Modern AI,p4de.24xlarge,51161.27605102408,62530.4485068072
H100,Mainstream Modern AI,p5.48xlarge,61290.11484383384,74910.14036468581
H100,Mainstream Modern AI,p5.4xlarge,63205.43093270365,77251.08225108225
H200,Emerging / Frontier AI,p5en.48xlarge,69859.88311403363,85384.30158381887
B200,Emerging / Frontier AI,p6-b200.48xlarge,89830.17383870047,109792.43469174502
B300,Emerging / Frontier AI,p6-b300.48xlarge,102831.90952588081,125683.44497607656
