Name,API Name,Instance Memory,vCPUs,Memory per vCPU,GPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
Standard E96pds v6,E96pds v6,672 GiB,96,7 GiB/vCPU,0,5280 GiB,$5.616 hourly,,,$1.4686 hourly,,,,
Standard E96ps v6,E96ps v6,672 GiB,96,7 GiB/vCPU,0,0 GiB,$4.426 hourly,,,$1.1574 hourly,,,,
E96s v5,E96s v5,672 GiB,96,7 GiB/vCPU,0,0 GiB,$6.048 hourly,,,$1.4908 hourly,$10.464 hourly,,,$2.5804 hourly
E96s v6,E96s v6,768 GiB,96,8 GiB/vCPU,0,0 GiB,$6.35 hourly,,,$1.1735 hourly,$10.766 hourly,,,$1.9896 hourly
E96s v7,E96s v7,768 GiB,96,8 GiB/vCPU,0,0 GiB,,,,,,,,
E96 v5,E96 v5,672 GiB,96,7 GiB/vCPU,0,0 GiB,$6.048 hourly,,,$1.4908 hourly,$10.464 hourly,,,$2.5804 hourly
EC128eds v6,EC128eds v6,1024 GiB,128,8 GiB/vCPU,0,7040 GiB,$10.465 hourly,,,$2.093 hourly,$16.353 hourly,,,$3.2706 hourly
EC128es v6,EC128es v6,1024 GiB,128,8 GiB/vCPU,0,0 GiB,$8.467 hourly,,,$1.6934 hourly,$14.355 hourly,,,$2.871 hourly
EC16ads v5,EC16ads v5,128 GiB,16,8 GiB/vCPU,0,600 GiB,$1.048 hourly,,,$0.1937 hourly,$1.784 hourly,,,$0.3297 hourly
EC16ads v6,EC16ads v6,128 GiB,16,8 GiB/vCPU,0,600 GiB,$1.162 hourly,,,$0.2147 hourly,$1.898 hourly,,,$0.3508 hourly
EC16as v5,EC16as v5,128 GiB,16,8 GiB/vCPU,0,0 GiB,$0.904 hourly,,,$0.1671 hourly,$1.64 hourly,,,$0.3031 hourly
EC16as v6,EC16as v6,128 GiB,16,8 GiB/vCPU,0,0 GiB,$0.954 hourly,,,$0.1763 hourly,$1.69 hourly,,,$0.3123 hourly
EC16eds v6,EC16eds v6,128 GiB,16,8 GiB/vCPU,0,880 GiB,$1.308 hourly,,,$0.2417 hourly,$2.044 hourly,,,$0.3777 hourly
EC16es v6,EC16es v6,128 GiB,16,8 GiB/vCPU,0,0 GiB,$1.058 hourly,,,$0.1955 hourly,$1.794 hourly,,,$0.3315 hourly
EC20ads v5,EC20ads v5,160 GiB,20,8 GiB/vCPU,0,750 GiB,$1.31 hourly,,,$0.2421 hourly,$2.23 hourly,,,$0.4121 hourly
EC20as v5,EC20as v5,160 GiB,20,8 GiB/vCPU,0,0 GiB,$1.13 hourly,,,$0.2088 hourly,$2.05 hourly,,,$0.3788 hourly
EC2ads v5,EC2ads v5,16 GiB,2,8 GiB/vCPU,0,75 GiB,$0.131 hourly,,,$0.0242 hourly,$0.223 hourly,,,$0.0412 hourly
EC2ads v6,EC2ads v6,16 GiB,2,8 GiB/vCPU,0,75 GiB,$0.145 hourly,,,$0.0268 hourly,$0.237 hourly,,,$0.0438 hourly
EC2as v5,EC2as v5,16 GiB,2,8 GiB/vCPU,0,0 GiB,$0.113 hourly,,,$0.0209 hourly,$0.205 hourly,,,$0.0379 hourly
EC2as v6,EC2as v6,16 GiB,2,8 GiB/vCPU,0,0 GiB,$0.119 hourly,,,$0.022 hourly,$0.211 hourly,,,$0.039 hourly
EC2eds v6,EC2eds v6,16 GiB,2,8 GiB/vCPU,0,110 GiB,$0.164 hourly,,,$0.0303 hourly,$0.256 hourly,,,$0.0473 hourly
EC2es v6,EC2es v6,16 GiB,2,8 GiB/vCPU,0,0 GiB,$0.132 hourly,,,$0.0244 hourly,$0.224 hourly,,,$0.0414 hourly
EC32ads v5,EC32ads v5,192 GiB,32,6 GiB/vCPU,0,1200 GiB,$2.096 hourly,,,$0.3873 hourly,$3.568 hourly,,,$0.6594 hourly
