provider,instance_type
aws,m4.4xlarge.elasticsearch
aws,cache.m4.10xlarge
aws,db.m4.10xlarge
aws,m4.10xlarge
aws,m4.10xlarge.elasticsearch
aws,db.m4.16xlarge
aws,m4.16xlarge
aws,m5.large
aws,cache.m5.large
aws,db.m5.large
aws,m5.large.elasticsearch
aws,m5.xlarge
aws,cache.m5.xlarge
aws,db.m5.xlarge
aws,m5.xlarge.elasticsearch
aws,m5.2xlarge
aws,cache.m5.2xlarge
aws,db.m5.2xlarge
aws,m5.2xlarge.elasticsearch
aws,m5.4xlarge
aws,cache.m5.4xlarge
aws,db.m5.4xlarge
aws,m5.4xlarge.elasticsearch
aws,db.m5.8xlarge
aws,m5.8xlarge
aws,m5.12xlarge
aws,cache.m5.12xlarge
aws,db.m5.12xlarge
aws,m5.12xlarge.elasticsearch
aws,m5.16xlarge
aws,db.m5.16xlarge
aws,m5.24xlarge
aws,cache.m5.24xlarge
aws,db.m5.24xlarge
aws,m5.metal
aws,m5a.large
aws,m5a.xlarge
aws,m5a.2xlarge
aws,m5a.4xlarge
aws,m5a.8xlarge
aws,m5a.12xlarge
aws,m5a.16xlarge
aws,m5a.24xlarge
aws,m5ad.large
aws,m5ad.xlarge
aws,m5ad.2xlarge
aws,m5ad.4xlarge
aws,m5ad.8xlarge
aws,m5ad.12xlarge
aws,m5ad.16xlarge
aws,m5ad.24xlarge
aws,m5d.large
aws,m5d.xlarge
aws,m5d.2xlarge
aws,m5d.4xlarge
aws,m5d.8xlarge
aws,m5d.12xlarge
aws,m5d.16xlarge
aws,m5d.24xlarge
aws,m5d.metal
aws,m5dn.large
aws,m5dn.xlarge
aws,m5dn.2xlarge
aws,m5dn.4xlarge
aws,m5dn.8xlarge
aws,m5dn.12xlarge
aws,m5dn.16xlarge
aws,m5dn.24xlarge
aws,m5dn.metal
aws,m5n.large
aws,m5n.xlarge
aws,m5n.2xlarge
aws,m5n.4xlarge
aws,m5n.8xlarge
aws,m5n.12xlarge
aws,m5n.16xlarge
aws,m5n.24xlarge
aws,m5n.metal
aws,m5zn.large
aws,m5zn.xlarge
aws,m5zn.2xlarge
aws,m5zn.3xlarge
aws,m5zn.6xlarge
aws,m5zn.12xlarge
aws,m5zn.metal
aws,m6a.large
aws,m6a.xlarge
aws,m6a.2xlarge
aws,m6a.4xlarge
aws,m6a.8xlarge
aws,m6a.12xlarge
aws,m6a.16xlarge
aws,m6a.24xlarge
aws,m6a.32xlarge
aws,m6a.48xlarge
aws,m6a.metal
aws,m6g.medium
aws,cache.m6g.large
aws,db.m6g.large
aws,m6g.large
aws,m6g.large.elasticsearch
aws,cache.m6g.xlarge
aws,db.m6g.xlarge
aws,m6g.xlarge
aws,m6g.xlarge.elasticsearch
aws,cache.m6g.2xlarge
aws,db.m6g.2xlarge
aws,m6g.2xlarge
aws,m6g.2xlarge.elasticsearch
aws,cache.m6g.4xlarge
aws,db.m6g.4xlarge
aws,m6g.4xlarge
aws,m6g.4xlarge.elasticsearch
aws,cache.m6g.8xlarge
aws,db.m6g.8xlarge
aws,m6g.8xlarge
aws,m6g.8xlarge.elasticsearch
aws,cache.m6g.12xlarge
aws,db.m6g.12xlarge
aws,m6g.12xlarge
aws,m6g.12xlarge.elasticsearch
aws,cache.m6g.16xlarge
aws,db.m6g.16xlarge
aws,m6g.16xlarge
aws,m6g.metal
aws,m6gd.medium
aws,m6gd.large
aws,m6gd.xlarge
aws,m6gd.2xlarge
aws,m6gd.4xlarge
aws,m6gd.8xlarge
aws,m6gd.12xlarge
aws,m6gd.16xlarge
aws,m6gd.metal
aws,m6i.large
aws,m6i.xlarge
aws,m6i.2xlarge
aws,m6i.4xlarge
aws,m6i.8xlarge
aws,m6i.12xlarge
aws,m6i.16xlarge
aws,m6i.24xlarge
aws,m6i.32xlarge
aws,m6i.metal
aws,m6id.large
aws,m6id.xlarge
aws,m6id.2xlarge
aws,m6id.4xlarge
aws,m6id.8xlarge
aws,m6id.12xlarge
aws,m6id.16xlarge
aws,m6id.24xlarge
aws,m6id.32xlarge
aws,m6id.metal
aws,m6idn.large
aws,m6idn.xlarge
aws,m6idn.2xlarge
aws,m6idn.4xlarge
aws,m6idn.8xlarge
aws,m6idn.12xlarge
aws,m6idn.16xlarge
aws,m6idn.24xlarge
aws,m6idn.32xlarge
aws,m6idn.metal
aws,m6in.large
aws,m6in.xlarge
aws,m6in.2xlarge
aws,m6in.4xlarge
aws,m6in.8xlarge
aws,m6in.12xlarge
aws,m6in.16xlarge
aws,m6in.24xlarge
aws,m6in.32xlarge
aws,m6in.metal
aws,m7a.medium
aws,m7a.large
aws,m7a.xlarge
aws,m7a.2xlarge
aws,m7a.4xlarge
aws,m7a.8xlarge
aws,m7a.12xlarge
aws,m7a.16xlarge
aws,m7a.24xlarge
aws,m7a.32xlarge
aws,m7a.48xlarge
aws,m7a.metal-48xl
aws,m7g.medium
aws,m7g.large
aws,m7g.xlarge
aws,m7g.2xlarge
aws,m7g.4xlarge
aws,m7g.8xlarge
aws,m7g.12xlarge
aws,m7g.16xlarge
aws,m7g.metal
aws,m7gd.medium
aws,m7gd.large
aws,m7gd.xlarge
aws,m7gd.2xlarge
aws,m7gd.4xlarge
aws,m7gd.8xlarge
aws,m7gd.12xlarge
aws,m7gd.16xlarge
aws,m7i.large
aws,m7i.xlarge
aws,m7i.2xlarge
aws,m7i.4xlarge
aws,m7i.8xlarge
aws,m7i.12xlarge
aws,m7i.16xlarge
aws,m7i.24xlarge
aws,m7i.48xlarge
aws,m7i-flex.large
aws,m7i-flex.xlarge
aws,m7i-flex.2xlarge
aws,m7i-flex.4xlarge
aws,m7i-flex.8xlarge
aws,mac1.metal
aws,mac2.metal
aws,p2.xlarge
aws,p2.8xlarge
aws,p2.16xlarge
aws,p3.2xlarge
aws,p3.8xlarge
aws,p3.16xlarge
aws,p3dn.24xlarge
aws,p4d.24xlarge
aws,p4de.24xlarge
aws,p5.48xlarge
aws,db.r3.large
aws,r3.large
aws,r3.large.elasticsearch
aws,db.r3.xlarge
aws,r3.xlarge
aws,r3.xlarge.elasticsearch
aws,cache.r3.2xlarge
aws,db.r3.2xlarge
aws,r3.2xlarge
aws,r3.2xlarge.elasticsearch
aws,db.r3.4xlarge
aws,r3.4xlarge
aws,r3.4xlarge.elasticsearch
aws,db.r3.8xlarge
aws,r3.8xlarge
aws,r3.8xlarge.elasticsearch
aws,cache.r4.large
aws,db.r4.large
aws,r4.large
aws,r4.large.elasticsearch
aws,cache.r4.xlarge
aws,db.r4.xlarge
aws,r4.xlarge
aws,r4.xlarge.elasticsearch
aws,cache.r4.2xlarge
aws,db.r4.2xlarge
aws,r4.2xlarge
aws,r4.2xlarge.elasticsearch
aws,cache.r4.4xlarge
aws,db.r4.4xlarge
aws,r4.4xlarge
aws,r4.4xlarge.elasticsearch
aws,cache.r4.8xlarge
aws,db.r4.8xlarge
aws,r4.8xlarge
aws,r4.8xlarge.elasticsearch
aws,cache.r4.16xlarge
aws,db.r4.16xlarge
aws,r4.16xlarge
aws,r4.16xlarge.elasticsearch
aws,cache.r5.large
aws,db.r5.large
aws,r5.large
aws,r5.large.elasticsearch
aws,cache.r5.xlarge
aws,db.r5.xlarge
aws,r5.xlarge
aws,r5.xlarge.elasticsearch
aws,cache.r5.2xlarge
aws,db.r5.2xlarge
aws,r5.2xlarge
aws,r5.2xlarge.elasticsearch
aws,cache.r5.4xlarge
aws,db.r5.4xlarge
aws,r5.4xlarge
aws,r5.4xlarge.elasticsearch
aws,db.r5.8xlarge
aws,r5.8xlarge
aws,cache.r5.12xlarge
aws,db.r5.12xlarge
aws,r5.12xlarge
aws,r5.12xlarge.elasticsearch
aws,db.r5.16xlarge
aws,r5.16xlarge
aws,cache.r5.24xlarge
aws,db.r5.24xlarge
aws,r5.24xlarge
aws,r5.metal
aws,r5a.large
aws,r5a.xlarge
aws,r5a.2xlarge
aws,r5a.4xlarge
aws,r5a.8xlarge
aws,r5a.12xlarge
aws,r5a.16xlarge
aws,r5a.24xlarge
aws,r5ad.large
aws,r5ad.xlarge
aws,r5ad.2xlarge
aws,r5ad.4xlarge
aws,r5ad.8xlarge
aws,r5ad.12xlarge
aws,r5ad.16xlarge
aws,r5ad.24xlarge
aws,r5b.large
aws,r5b.xlarge
aws,r5b.2xlarge
aws,r5b.4xlarge
aws,r5b.8xlarge
aws,r5b.12xlarge
aws,r5b.16xlarge
aws,r5b.24xlarge
aws,r5b.metal
aws,r5d.large
aws,r5d.xlarge
aws,r5d.2xlarge
aws,r5d.4xlarge
aws,r5d.8xlarge
aws,r5d.12xlarge
aws,r5d.16xlarge
aws,r5d.24xlarge
aws,r5d.metal
aws,r5dn.large
aws,r5dn.xlarge
aws,r5dn.2xlarge
aws,r5dn.4xlarge
aws,r5dn.8xlarge
aws,r5dn.12xlarge
aws,r5dn.16xlarge
aws,r5dn.24xlarge
aws,r5dn.metal
aws,r5n.large
aws,r5n.xlarge
aws,r5n.2xlarge
aws,r5n.4xlarge
aws,r5n.8xlarge
aws,r5n.12xlarge
aws,r5n.16xlarge
aws,r5n.24xlarge
aws,r5n.metal
aws,r6a.large
aws,r6a.xlarge
aws,r6a.2xlarge
aws,r6a.4xlarge
aws,r6a.8xlarge
aws,r6a.12xlarge
aws,r6a.16xlarge
aws,r6a.24xlarge
aws,r6a.32xlarge
aws,r6a.48xlarge
aws,r6a.metal
aws,r6g.medium
aws,cache.r6g.large
aws,db.r6g.large
aws,r6g.large
aws,r6g.large.elasticsearch
aws,cache.r6g.xlarge
aws,db.r6g.xlarge
aws,r6g.xlarge
aws,r6g.xlarge.elasticsearch
aws,cache.r6g.2xlarge
aws,db.r6g.2xlarge
aws,r6g.2xlarge
aws,r6g.2xlarge.elasticsearch
aws,cache.r6g.4xlarge
aws,db.r6g.4xlarge
aws,r6g.4xlarge
aws,r6g.4xlarge.elasticsearch
aws,cache.r6g.8xlarge
aws,r6g.8xlarge
aws,r6g.8xlarge.elasticsearch
aws,cache.r6g.12xlarge
aws,db.r6g.12xlarge
aws,r6g.12xlarge
aws,r6g.12xlarge.elasticsearch
aws,cache.r6g.16xlarge
aws,db.r6g.16xlarge
aws,r6g.16xlarge
aws,r6g.metal
aws,r6gd.medium
aws,r6gd.large
aws,r6gd.large.elasticsearch
aws,r6gd.xlarge
aws,r6gd.xlarge.elasticsearch
aws,r6gd.2xlarge
aws,r6gd.2xlarge.elasticsearch
aws,r6gd.4xlarge
aws,r6gd.4xlarge.elasticsearch
aws,r6gd.8xlarge
aws,r6gd.8xlarge.elasticsearch
aws,r6gd.12xlarge
aws,r6gd.12xlarge.elasticsearch
aws,r6gd.16xlarge
aws,r6gd.16xlarge.elasticsearch
aws,r6gd.metal
aws,r6i.large
aws,r6i.xlarge
aws,r6i.2xlarge
aws,r6i.4xlarge
aws,r6i.8xlarge
aws,r6i.12xlarge
aws,r6i.16xlarge
aws,r6i.24xlarge
aws,r6i.32xlarge
aws,r6i.metal
aws,r6id.large
aws,r6id.xlarge
aws,r6id.2xlarge
aws,r6id.4xlarge
aws,r6id.8xlarge
aws,r6id.12xlarge
aws,r6id.16xlarge
aws,r6id.24xlarge
aws,r6id.32xlarge
aws,r6id.metal
aws,r6idn.large
aws,r6idn.xlarge
aws,r6idn.2xlarge
aws,r6idn.4xlarge
aws,r6idn.8xlarge
aws,r6idn.12xlarge
aws,r6idn.16xlarge
aws,r6idn.24xlarge
aws,r6idn.32xlarge
aws,r6idn.metal
aws,r6in.large
aws,r6in.xlarge
aws,r6in.2xlarge
aws,r6in.4xlarge
aws,r6in.8xlarge
aws,r6in.12xlarge
aws,r6in.16xlarge
aws,r6in.24xlarge
aws,r6in.32xlarge
aws,r6in.metal
aws,r7a.medium
aws,r7a.large
aws,r7a.xlarge
aws,r7a.2xlarge
aws,r7a.4xlarge
aws,r7a.8xlarge
aws,r7a.12xlarge
aws,r7a.16xlarge
aws,r7a.24xlarge
aws,r7a.32xlarge
aws,r7a.48xlarge
aws,r7a.metal-48xl
aws,r7g.medium
aws,r7g.large
aws,r7g.xlarge
aws,r7g.2xlarge
aws,r7g.4xlarge
aws,r7g.8xlarge
aws,r7g.12xlarge
aws,r7g.16xlarge
aws,r7g.metal
aws,r7gd.medium
aws,r7gd.large
aws,r7gd.xlarge
aws,r7gd.2xlarge
aws,r7gd.4xlarge
aws,r7gd.8xlarge
aws,r7gd.12xlarge
aws,r7gd.16xlarge
aws,r7iz.large
aws,r7iz.xlarge
aws,r7iz.2xlarge
aws,r7iz.4xlarge
aws,r7iz.8xlarge
aws,r7iz.12xlarge
aws,r7iz.16xlarge
aws,r7iz.32xlarge
aws,ra3.4xlarge
aws,ra3.16xlarge
aws,t1.micro
aws,cache.t2.micro
aws,db.t2.micro
aws,cache.t2.small
aws,db.t2.small
aws,t2.micro
aws,t2.micro.elasticsearch
aws,t2.nano
aws,t2.small
aws,t2.small.elasticsearch
aws,db.t2.large
aws,cache.t2.medium
aws,db.t2.medium
aws,t2.large
aws,t2.medium
aws,t2.medium.elasticsearch
aws,db.t2.xlarge
aws,t2.xlarge
aws,db.t2.2xlarge
aws,t2.2xlarge
aws,db.t3.large
aws,t3.large
aws,cache.t3.medium
aws,db.t3.medium
aws,t3.medium
aws,t3.medium.elasticsearch
aws,cache.t3.micro
aws,db.t3.micro
aws,t3.micro
aws,t3.nano
aws,cache.t3.small
aws,db.t3.small
aws,t3.small
aws,t3.small.elasticsearch
aws,db.t3.xlarge
aws,t3.xlarge
aws,db.t3.2xlarge
aws,t3.2xlarge
aws,t3a.large
aws,t3a.medium
aws,t3a.micro
aws,t3a.nano
aws,t3a.small
aws,t3a.xlarge
aws,t3a.2xlarge
aws,t4g.large
aws,t4g.medium
aws,t4g.micro
aws,t4g.nano
aws,t4g.small
aws,t4g.xlarge
aws,t4g.2xlarge
aws,trn1.2xlarge
aws,trn1.32xlarge
aws,trn1n.32xlarge
aws,u-12tb1.112xlarge
aws,u-12tb1.metal
aws,u-18tb1.112xlarge
aws,u-18tb1.metal
aws,u-24tb1.112xlarge
aws,u-24tb1.metal
aws,u-3tb1.56xlarge
aws,u-6tb1.56xlarge
aws,u-6tb1.112xlarge
aws,u-6tb1.metal
aws,u-9tb1.112xlarge
aws,u-9tb1.metal
aws,vt1.3xlarge
aws,vt1.6xlarge
aws,vt1.24xlarge
aws,db.x1.16xlarge
aws,x1.16xlarge
aws,db.x1.32xlarge
aws,x1.32xlarge
aws,db.x1e.xlarge
aws,x1e.xlarge
aws,db.x1e.2xlarge
aws,x1e.2xlarge
aws,db.x1e.4xlarge
aws,x1e.4xlarge
aws,db.x1e.8xlarge
aws,x1e.8xlarge
aws,db.x1e.16xlarge
aws,x1e.16xlarge
aws,db.x1e.32xlarge
aws,x1e.32xlarge
aws,x2gd.medium
aws,x2gd.large
aws,x2gd.xlarge
aws,x2gd.2xlarge
aws,x2gd.4xlarge
aws,x2gd.8xlarge
aws,x2gd.12xlarge
aws,x2gd.16xlarge
aws,x2gd.metal
aws,x2idn.16xlarge
aws,x2idn.24xlarge
aws,x2idn.32xlarge
aws,x2idn.metal
aws,x2iedn.xlarge
aws,x2iedn.2xlarge
aws,x2iedn.4xlarge
aws,x2iedn.8xlarge
aws,x2iedn.16xlarge
aws,x2iedn.24xlarge
aws,x2iedn.32xlarge
aws,x2iedn.metal
aws,x2iezn.2xlarge
aws,x2iezn.4xlarge
aws,x2iezn.6xlarge
aws,x2iezn.8xlarge
aws,x2iezn.12xlarge
aws,x2iezn.metal
aws,db.z1d.large
aws,z1d.large
aws,db.z1d.xlarge
aws,z1d.xlarge
aws,db.z1d.2xlarge
aws,z1d.2xlarge
aws,db.z1d.3xlarge
aws,z1d.3xlarge
aws,db.z1d.6xlarge
aws,z1d.6xlarge
aws,db.z1d.12xlarge
aws,z1d.12xlarge
aws,z1d.metal
aws,c8g.medium
aws,c8g.large
aws,c8g.xlarge
aws,c8g.2xlarge
aws,c8g.4xlarge
aws,c8g.8xlarge
aws,c8g.12xlarge
aws,c8g.16xlarge
aws,c8g.24xlarge
aws,c8g.metal-24xl
aws,m8g.medium
aws,m8g.large
aws,m8g.xlarge
aws,m8g.2xlarge
aws,m8g.4xlarge
aws,m8g.8xlarge
aws,m8g.12xlarge
aws,m8g.16xlarge
aws,m8g.24xlarge
aws,m8g.metal-24xl
aws,r8g.medium
aws,r8g.large
aws,r8g.xlarge
aws,r8g.2xlarge
aws,r8g.4xlarge
aws,r8g.8xlarge
aws,r8g.12xlarge
aws,r8g.16xlarge
aws,r8g.24xlarge
aws,r8g.metal-24xl
aws,x8g.medium
aws,x8g.large
aws,x8g.xlarge
aws,x8g.2xlarge
aws,x8g.4xlarge
aws,x8g.8xlarge
aws,x8g.12xlarge
aws,x8g.16xlarge
aws,x8g.24xlarge
aws,x8g.metal-24xl
aws,i8g.large
aws,i8g.xlarge
aws,i8g.2xlarge
aws,i8g.4xlarge
aws,i8g.8xlarge
aws,i8g.12xlarge
aws,i8g.16xlarge
aws,i8g.24xlarge
aws,i8g.metal-24xl
gcp,c4a-standard-1
gcp,c4a-standard-2
gcp,c4a-standard-4
gcp,c4a-standard-8
gcp,c4a-standard-16
gcp,c4a-standard-32
gcp,c4a-standard-48
gcp,c4a-standard-64
gcp,c4a-standard-72
gcp,c4a-highcpu-1
gcp,c4a-highcpu-2
gcp,c4a-highcpu-4
gcp,c4a-highcpu-8
gcp,c4a-highcpu-16
gcp,c4a-highcpu-32
gcp,c4a-highcpu-48
gcp,c4a-highcpu-64
gcp,c4a-highcpu-72
gcp,c4a-highmem-1
gcp,c4a-highmem-2
gcp,c4a-highmem-4
gcp,c4a-highmem-8
gcp,c4a-highmem-16
gcp,c4a-highmem-32
gcp,c4a-highmem-48
gcp,c4a-highmem-64
gcp,c4a-highmem-72
gcp,c4a-standard-4-lssd
gcp,c4a-standard-8-lssd
gcp,c4a-standard-16-lssd
gcp,c4a-standard-32-lssd
gcp,c4a-standard-48-lssd
gcp,c4a-standard-64-lssd
gcp,c4a-standard-72-lssd
gcp,c4a-highmem-4-lssd
gcp,c4a-highmem-8-lssd
gcp,c4a-highmem-16-lssd
gcp,c4a-highmem-32-lssd
gcp,c4a-highmem-48-lssd
gcp,c4a-highmem-64-lssd
gcp,c4a-highmem-72-lssd
gcp,c4-standard-2
gcp,c4-standard-4
