url,page_title,vendor,capacity_text,interface,form_factor,controller,nand,idle_power_text,active_power_text,avg_power_text,model_guess,capacity_tb,idle_w,active_w,avg_w,enterprise_flag_heuristic
https://www.techpowerup.com/ssd-specs/memblaze-pblaze7-7a40-7-5-tb.d2188,Memblaze PBlaze7 7A40 7.5 TB Specs | TechPowerUp SSD Database,Alibaba,7.5 TB (7680 GB),PCIe 5.0 x4,U.2,DRAM (enabled),"16 @ 1,600 MT/s",,,,Memblaze PBlaze7 7A40 7.5 TB Specs | TechPowerUp SSD Database,7.5,,,,False
https://www.techpowerup.com/ssd-specs/memblaze-pblaze7-7a46-13-tb.d2705,Memblaze PBlaze7 7A46 13 TB Specs | TechPowerUp SSD Database,Alibaba,13 TB (12800 GB),PCIe 5.0 x4,U.2,DRAM (enabled),"16 @ 1,600 MT/s",,,,Memblaze PBlaze7 7A46 13 TB Specs | TechPowerUp SSD Database,13.0,,,,False
https://www.techpowerup.com/ssd-specs/memblaze-pblaze7-7a46-3-tb.d2704,Memblaze PBlaze7 7A46 3 TB Specs | TechPowerUp SSD Database,Alibaba,3 TB (3200 GB),PCIe 5.0 x4,U.2,DRAM (enabled),"16 @ 1,600 MT/s",,,,Memblaze PBlaze7 7A46 3 TB Specs | TechPowerUp SSD Database,3.0,,,,False
https://www.techpowerup.com/ssd-specs/memblaze-pblaze7-7a46-6-tb.d2703,Memblaze PBlaze7 7A46 6 TB Specs | TechPowerUp SSD Database,Alibaba,6 TB (6400 GB),PCIe 5.0 x4,U.2,DRAM (enabled),"16 @ 1,600 MT/s",,,,Memblaze PBlaze7 7A46 6 TB Specs | TechPowerUp SSD Database,6.0,,,,False
https://www.techpowerup.com/ssd-specs/pny-cs900-1-tb.d667,PNY CS900 1 TB Specs | TechPowerUp SSD Database,Phison,1 TB (1000 GB),SATA 6 Gbps,"2.5""",,2 @ 533 MT/s,,,,PNY CS900 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/samsung-860-evo-1-tb.d8,Samsung 860 EVO 1 TB Specs | TechPowerUp SSD Database,Samsung,1 TB (1000 GB),SATA 6 Gbps,"2.5""",DRAM (enabled),8 @ 800 MT/s,,,,Samsung 860 EVO 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/samsung-860-evo-250-gb.d6,Samsung 860 EVO 250 GB Specs | TechPowerUp SSD Database,Samsung,250 GB,SATA 6 Gbps,"2.5""",DRAM (enabled),8 @ 800 MT/s,,,,Samsung 860 EVO 250 GB Specs | TechPowerUp SSD Database,0.25,,,,False
https://www.techpowerup.com/ssd-specs/samsung-860-evo-500-gb.d7,Samsung 860 EVO 500 GB Specs | TechPowerUp SSD Database,Samsung,500 GB,SATA 6 Gbps,"2.5""",DRAM (enabled),8 @ 800 MT/s,,,,Samsung 860 EVO 500 GB Specs | TechPowerUp SSD Database,0.5,,,,True
https://www.techpowerup.com/ssd-specs/samsung-870-evo-1-tb.d3,Samsung 870 EVO 1 TB Specs | TechPowerUp SSD Database,Samsung,1 TB (1000 GB),SATA 6 Gbps,"2.5""",DRAM (enabled),8,,,,Samsung 870 EVO 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/samsung-870-evo-500-gb.d2,Samsung 870 EVO 500 GB Specs | TechPowerUp SSD Database,Samsung,500 GB,SATA 6 Gbps,"2.5""",DRAM (enabled),8,,,,Samsung 870 EVO 500 GB Specs | TechPowerUp SSD Database,0.5,,,,False
https://www.techpowerup.com/ssd-specs/samsung-9100-pro-1-tb.d2318,Samsung 9100 Pro 1 TB Specs | TechPowerUp SSD Database,Samsung,1 TB (1000 GB),PCIe 5.0 x4,M.2 2280 (Single-Sided),DRAM (enabled),"8 @ 2,400 MT/s",,,,Samsung 9100 Pro 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/samsung-9100-pro-2-tb.d2319,Samsung 9100 Pro 2 TB Specs | TechPowerUp SSD Database,Samsung,2 TB (2000 GB),PCIe 5.0 x4,M.2 2280 (Single-Sided),DRAM (enabled),"8 @ 2,400 MT/s",,,,Samsung 9100 Pro 2 TB Specs | TechPowerUp SSD Database,2.0,,,,False
https://www.techpowerup.com/ssd-specs/samsung-970-evo-1-tb.d65,Samsung 970 EVO 1 TB Specs | TechPowerUp SSD Database,Samsung,1 TB (1000 GB),PCIe 3.0 x4,M.2 2280 (Single-Sided),DRAM (enabled),8 @ 800 MT/s,,,,Samsung 970 EVO 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/samsung-970-evo-plus-1-tb.d61,Samsung 970 EVO Plus 1 TB Specs | TechPowerUp SSD Database,Samsung,1 TB (1000 GB),PCIe 3.0 x4,M.2 2280 (Single-Sided),DRAM (enabled),8 @ 800 MT/s,,,,Samsung 970 EVO Plus 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
