VM Name,Region ID,Region Name,Linux Price,Windows Price,Modified Date Time
Standard_ND96amsr_A100_v4,eastus,East US,16.2212,19.5338,5/5/2023 2:29
Standard_ND96amsr_A100_v4,eastus,East US,16.2212,19.5338,5/8/2023 1:09
Standard_ND96amsr_A100_v4,eastus,East US,16.2212,19.5338,5/10/2023 1:28
Standard_ND96amsr_A100_v4,eastus,East US,16.2212,19.5338,5/12/2023 1:34
Standard_ND96amsr_A100_v4,eastus,East US,16.2212,19.5338,5/15/2023 3:10
Standard_ND96amsr_A100_v4,eastus,East US,16.2212,19.5338,5/17/2023 1:20
Standard_ND96amsr_A100_v4,eastus,East US,16.2212,19.5338,5/19/2023 1:53
Standard_ND96amsr_A100_v4,eastus,East US,16.2212,19.5338,5/22/2023 1:50
Standard_ND96amsr_A100_v4,eastus,East US,16.2212,19.5338,5/24/2023 2:19
Standard_ND96amsr_A100_v4,eastus,East US,16.2212,19.5338,5/26/2023 1:12
Standard_ND96amsr_A100_v4,eastus,East US,16.2212,19.5338,5/29/2023 1:20
Standard_ND96amsr_A100_v4,eastus,East US,16.2212,19.5338,5/31/2023 3:16
Standard_ND96amsr_A100_v4,eastus,East US,13.3636,16.0941,6/2/2023 1:18
Standard_ND96amsr_A100_v4,eastus,East US,13.3636,16.0941,6/5/2023 2:54
Standard_ND96amsr_A100_v4,eastus,East US,13.3636,16.0941,6/7/2023 1:32
Standard_ND96amsr_A100_v4,eastus,East US,13.3636,16.0941,6/12/2023 1:38
Standard_ND96amsr_A100_v4,eastus,East US,13.3636,16.0941,6/14/2023 1:17
Standard_ND96amsr_A100_v4,eastus,East US,13.3636,16.0941,6/16/2023 3:27
Standard_ND96amsr_A100_v4,eastus,East US,13.3636,16.0941,6/19/2023 2:23
Standard_ND96amsr_A100_v4,eastus,East US,13.3636,16.0941,6/21/2023 1:21
Standard_ND96amsr_A100_v4,eastus,East US,13.3636,16.0941,6/23/2023 2:35
Standard_ND96amsr_A100_v4,eastus,East US,13.3636,16.0941,6/26/2023 1:11
Standard_ND96amsr_A100_v4,eastus,East US,13.3636,16.0941,6/28/2023 1:29
Standard_ND96amsr_A100_v4,eastus,East US,13.3636,16.0941,6/30/2023 1:20
Standard_ND96amsr_A100_v4,eastus,East US,11.0959,13.8667,7/3/2023 2:09
Standard_ND96amsr_A100_v4,eastus,East US,11.0959,13.8667,7/5/2023 1:57
Standard_ND96amsr_A100_v4,eastus,East US,11.0959,13.8667,7/7/2023 2:08
Standard_ND96amsr_A100_v4,eastus,East US,11.0959,13.8667,7/10/2023 1:51
Standard_ND96amsr_A100_v4,eastus,East US,11.0959,13.8667,7/12/2023 1:09
Standard_ND96amsr_A100_v4,eastus,East US,11.0959,13.8667,7/14/2023 2:15
Standard_ND96amsr_A100_v4,eastus,East US,11.0959,13.8667,7/17/2023 1:05
Standard_ND96amsr_A100_v4,eastus,East US,11.0959,13.8667,7/19/2023 2:31
Standard_ND96amsr_A100_v4,eastus,East US,11.0959,13.8667,7/21/2023 2:32
Standard_ND96amsr_A100_v4,eastus,East US,11.0959,13.8667,7/24/2023 1:29
Standard_ND96amsr_A100_v4,eastus,East US,11.0959,13.8667,7/26/2023 2:10
Standard_ND96amsr_A100_v4,eastus,East US,11.0959,13.8667,7/28/2023 1:29
Standard_ND96amsr_A100_v4,eastus,East US,11.0959,13.8667,7/31/2023 2:04
Standard_ND96amsr_A100_v4,eastus,East US,9.1428,11.6838,8/2/2023 1:58
Standard_ND96amsr_A100_v4,eastus,East US,9.1428,11.6838,8/4/2023 3:10
Standard_ND96amsr_A100_v4,eastus,East US,9.1428,11.6838,8/7/2023 2:29
Standard_ND96amsr_A100_v4,eastus,East US,9.1428,11.6838,8/9/2023 2:03
Standard_ND96amsr_A100_v4,eastus,East US,9.1428,11.6838,8/11/2023 1:59
Standard_ND96amsr_A100_v4,eastus,East US,9.1428,11.6838,8/14/2023 1:22
Standard_ND96amsr_A100_v4,eastus,East US,9.1428,11.6838,8/16/2023 1:39
Standard_ND96amsr_A100_v4,eastus,East US,9.1428,11.6838,8/18/2023 2:16
Standard_ND96amsr_A100_v4,eastus,East US,9.1428,11.6838,8/21/2023 1:10
Standard_ND96amsr_A100_v4,eastus,East US,9.1428,11.6838,8/23/2023 3:17
Standard_ND96amsr_A100_v4,eastus,East US,9.1428,11.6838,8/25/2023 1:57
Standard_ND96amsr_A100_v4,eastus,East US,9.1428,11.6838,8/28/2023 1:58
Standard_ND96amsr_A100_v4,eastus,East US,9.1428,11.6838,8/30/2023 1:58
Standard_ND96amsr_A100_v4,eastus,East US,7.5961,9.6126,9/6/2023 1:40
Standard_ND96amsr_A100_v4,eastus,East US,7.5961,9.6126,9/8/2023 1:29
Standard_ND96amsr_A100_v4,eastus,East US,7.5961,9.6126,9/11/2023 1:04
Standard_ND96amsr_A100_v4,eastus,East US,7.5961,9.6126,9/13/2023 1:30
Standard_ND96amsr_A100_v4,eastus,East US,7.5961,9.6126,9/15/2023 1:29
Standard_ND96amsr_A100_v4,eastus,East US,7.5961,9.6126,9/18/2023 1:26
Standard_ND96amsr_A100_v4,eastus,East US,7.5961,9.6126,9/20/2023 1:34
Standard_ND96amsr_A100_v4,eastus,East US,7.5961,9.6126,9/29/2023 1:18
Standard_ND96amsr_A100_v4,eastus,East US,6.554,7.6901,10/2/2023 1:36
Standard_ND96amsr_A100_v4,eastus,East US,6.554,7.6901,10/4/2023 1:07
Standard_ND96amsr_A100_v4,eastus,East US,6.554,7.6901,10/6/2023 1:29
Standard_ND96amsr_A100_v4,eastus,East US,6.554,7.6901,10/9/2023 1:12
Standard_ND96amsr_A100_v4,eastus,East US,6.554,7.6901,10/13/2023 1:20
Standard_ND96amsr_A100_v4,eastus,East US,6.554,7.6901,10/16/2023 1:27
Standard_ND96amsr_A100_v4,eastus,East US,6.554,7.6901,10/18/2023 1:05
Standard_ND96amsr_A100_v4,eastus,East US,6.554,7.6901,10/20/2023 1:23
Standard_ND96amsr_A100_v4,eastus,East US,6.554,7.6901,10/23/2023 1:07
Standard_ND96amsr_A100_v4,eastus,East US,6.554,7.6901,10/25/2023 1:27
Standard_ND96amsr_A100_v4,eastus,East US,6.554,7.6901,10/27/2023 1:09
Standard_ND96amsr_A100_v4,eastus,East US,6.554,7.6901,10/30/2023 1:16
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.6901,11/1/2023 1:28
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.6901,11/3/2023 1:25
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.6901,11/6/2023 1:06
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.6901,11/8/2023 1:09
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.6901,11/10/2023 1:17
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.6901,11/13/2023 1:07
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.6901,11/15/2023 1:16
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.6901,11/17/2023 1:17
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.6901,11/20/2023 1:04
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.6901,11/22/2023 1:03
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.6901,11/24/2023 1:35
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.6901,11/27/2023 1:30
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.6901,11/29/2023 1:16
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/1/2023 1:25
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/4/2023 1:11
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/6/2023 1:08
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/8/2023 1:19
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/11/2023 1:06
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/13/2023 1:26
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/15/2023 1:18
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/17/2023 12:56
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/18/2023 1:37
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/19/2023 23:08
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/20/2023 1:05
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/22/2023 1:02
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/25/2023 1:03
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/27/2023 1:04
Standard_ND96amsr_A100_v4,eastus,East US,5.7675,7.5041,12/29/2023 1:00
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/1/2024 1:13
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/3/2024 1:00
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/4/2024 13:38
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/5/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/8/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/10/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/12/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/15/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/17/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/19/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/22/2024 1:00
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/24/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/26/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/29/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,5.2432,7.2885,1/31/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,4.5714,6.4295,2/2/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,4.5714,6.4295,2/5/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,4.5714,6.4295,2/7/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,4.5714,6.4295,2/9/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,4.5714,6.4295,2/12/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,4.5714,6.4295,2/14/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,4.5714,6.4295,2/16/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,4.5714,6.4295,2/19/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,4.5714,6.4295,2/21/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,4.5714,6.4295,2/23/2024 1:13
Standard_ND96amsr_A100_v4,eastus,East US,4.5714,6.4295,2/26/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,4.5714,6.4295,2/28/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,3.6571,5.1428,3/1/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.6571,5.1428,3/4/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,3.6571,5.1428,3/6/2024 1:01
Standard_ND96amsr_A100_v4,eastus,East US,3.6571,5.1428,3/8/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,3.6571,5.1428,3/11/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,3.6571,5.1428,3/13/2024 1:01
Standard_ND96amsr_A100_v4,eastus,East US,3.6571,5.1428,3/15/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.6571,5.1428,3/18/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.6571,5.1428,3/20/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,3.6571,5.1428,3/22/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.6571,5.1428,3/25/2024 1:13
Standard_ND96amsr_A100_v4,eastus,East US,3.6571,5.1428,3/27/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.6571,5.1428,3/29/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,3.4114,4.2504,4/1/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.4114,4.2504,4/3/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,3.4114,4.2504,4/5/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.4114,4.2504,4/8/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.4114,4.2504,4/10/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.4114,4.2504,4/12/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,3.4114,4.2504,4/15/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,3.4114,4.2504,4/17/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,3.4114,4.2504,4/19/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.4114,4.2504,4/22/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.4114,4.2504,4/24/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,3.4114,4.2504,4/26/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,3.4114,4.2504,4/29/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/1/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/3/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/6/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/8/2024 1:14
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/10/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/13/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/15/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/17/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/20/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/22/2024 1:01
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/24/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/27/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/29/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,5/31/2024 1:01
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,6/3/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,6/5/2024 1:00
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,6/7/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,6/10/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,6/12/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,6/14/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,6/17/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,6/19/2024 1:00
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,6/21/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,6/24/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,6/26/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,6/28/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/1/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/3/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/5/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/8/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/10/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/12/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/15/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/17/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/19/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/22/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/24/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/26/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/29/2024 1:01
Standard_ND96amsr_A100_v4,eastus,East US,3.277,3.7186,7/31/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,3.6047,4.0905,8/2/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.6047,4.0905,8/5/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.6047,4.0905,8/7/2024 1:00
Standard_ND96amsr_A100_v4,eastus,East US,3.6047,4.0905,8/9/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.6047,4.0905,8/12/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,3.6047,4.0905,8/14/2024 1:14
Standard_ND96amsr_A100_v4,eastus,East US,3.6047,4.0905,8/16/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.6047,4.0905,8/19/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.6047,4.0905,8/21/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.6047,4.0905,8/23/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.6047,4.0905,8/26/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.6047,4.0905,8/28/2024 1:00
Standard_ND96amsr_A100_v4,eastus,East US,3.6047,4.0905,8/30/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,3.9652,4.4995,9/2/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,3.9652,4.4995,9/4/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.9652,4.4995,9/6/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,3.9652,4.4995,9/9/2024 1:03
Standard_ND96amsr_A100_v4,eastus,East US,3.9652,4.4995,9/11/2024 1:04
Standard_ND96amsr_A100_v4,eastus,East US,3.9652,4.4995,9/13/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,3.9652,4.4995,9/16/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,3.9652,4.4995,9/18/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,3.9652,4.4995,9/20/2024 1:02
Standard_ND96amsr_A100_v4,eastus,East US,3.9652,4.4995,9/23/2024 1:05
Standard_ND96amsr_A100_v4,eastus,East US,3.9652,4.4995,9/25/2024 1:06
Standard_ND96amsr_A100_v4,eastus,East US,3.9652,4.4995,9/27/2024 1:05
