Name,API Name,Instance Family,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,Uses NUMA Architecture,NUMA Node Count,Max NUMA Distance,Cores per NUMA Node (Avg),Threads per NUMA Node (Avg),Memory per NUMA Node (Avg MB),L3 Cache per NUMA Node (Avg MB),L3 Cache Shared,Compute Units (ECU),vCPUs,GiB of Memory per vCPU,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Baseline Bandwidth,EBS Optimized: Baseline Throughput (128K),EBS Optimized: Baseline IOPS (16K),EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,Bare metal,Trunking compatible,Branch interface,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Availability Zones,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Average cost,RHEL On Demand cost,RHEL Reserved cost,RHEL Spot Minimum cost,RHEL Spot Maximum cost,RHEL with HA On Demand cost,RHEL with HA Reserved cost,RHEL with HA Spot Minimum cost,RHEL with HA Spot Maximum cost,SLES On Demand cost,SLES Reserved cost,SLES Spot Minimum cost,SLES Spot Maximum cost,Windows On Demand cost,Windows Reserved cost,Windows Spot Minimum cost,Windows Spot Average cost,Dedicated Host On Demand,Dedicated Host Reserved,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,Linux Spot Interrupt Frequency,EMR cost,Generation,GPU Architectures,GPU Temp (Avg °C),FFmpeg Used CUDA,FFmpeg Speed,GPU Power Draw (Avg Watts),GPU Power Limit (Watts),GPU Graphics Clock (Avg MHz),GPU SM Clock (Avg MHz),GPU Memory Clock (Avg MHz),GPU Video Clock (Avg MHz)
IM4GN Quadruple Extra Large,im4gn.4xlarge,im4gn,"318,196.884",Storage optimized,92.0 fps,64 GiB,,No,,,,,,,,0 units,16 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,7500 GB NVMe SSD,Yes,Yes,arm64,25 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$1.4552 hourly,$0.9332 hourly,$0.4024 hourly,$0.8175 hourly,$1.628 hourly,$1.106 hourly,$0.5752 hourly,$1.3198 hourly,$1.852 hourly,$1.33 hourly,,,$1.5802 hourly,$0.9932 hourly,$0.5274 hourly,$1.272 hourly,,,,,$6.403 hourly,$4.106 hourly,,,,,,,,,,,,,15-20%,$0.3638 hourly,current,,,No,3.07x,,,,,,
IM4GN Eight Extra Large,im4gn.8xlarge,im4gn,"615,384.615",Storage optimized,151.0 fps,128 GiB,,No,,,,,,,,0 units,32 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,15000 GB (2×7500 GB NVMe SSD),Yes,Yes,arm64,50 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$2.9103 hourly,$1.8665 hourly,$0.7105 hourly,$1.4985 hourly,$3.2559 hourly,$2.2121 hourly,$1.0561 hourly,$2.6533 hourly,$3.7039 hourly,$2.6601 hourly,,,$3.0353 hourly,$1.9265 hourly,$0.8355 hourly,$2.4327 hourly,,,,,$6.403 hourly,$4.106 hourly,,,,,,,,,,,,,>20%,$0.7276 hourly,current,,,No,5.04x,,,,,,
IM4GN Large,im4gn.large,im4gn,"38,689.709",Storage optimized,12.0 fps,8 GiB,,No,,,,,,,,0 units,2 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,937 GB NVMe SSD,Yes,Yes,arm64,Up to 25 Gigabit,1250 Mbps,156.25 MB/s,5000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,No,Yes,9,Yes,Yes,Yes,Unknown,No,,$0.1819 hourly,$0.1167 hourly,$0.0534 hourly,$0.0565 hourly,$0.2107 hourly,$0.1455 hourly,$0.0822 hourly,$0.0896 hourly,$0.2457 hourly,$0.1805 hourly,,,$0.2382 hourly,$0.1417 hourly,$0.1097 hourly,$0.1171 hourly,,,,,$6.403 hourly,$4.106 hourly,,,,,,,,,,,,,<5%,,current,,,No,0.41x,,,,,,
IM4GN Extra Large,im4gn.xlarge,im4gn,"77,120.823",Storage optimized,26.0 fps,16 GiB,,No,,,,,,,,0 units,4 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,1875 GB NVMe SSD,Yes,Yes,arm64,Up to 25 Gigabit,2500 Mbps,312.5 MB/s,10000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,No,Yes,18,Yes,Yes,Yes,Unknown,Yes,,$0.3638 hourly,$0.2333 hourly,$0.096 hourly,$0.1163 hourly,$0.4214 hourly,$0.2909 hourly,$0.1536 hourly,$0.193 hourly,$0.4914 hourly,$0.3609 hourly,,,$0.4201 hourly,$0.2833 hourly,$0.1523 hourly,$0.1917 hourly,,,,,$6.403 hourly,$4.106 hourly,,,,,,,,,,,,,<5%,$0.0909 hourly,current,,,No,0.86x,,,,,,
INF1 24xlarge,inf1.24xlarge,inf1,"1,539,880.499",Machine Learning ASIC Instances,194.0 fps,192 GiB,2933 MT/s,Yes,2,21,24,48,94647 MB,35.0 MB,Yes,0 units,96 vCPUs,2.00 GiB/vCPU,16,AWS Inferentia,128 GiB,0,0,0.0000 units,Intel Xeon Platinum 8275CL (Cascade Lake),,,,,,EBS only,,,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,330,11,Yes,No,Yes,111,Yes,Yes,Yes,Unknown,No,,$4.721 hourly,$2.974 hourly,$0.8644 hourly,$1.0851 hourly,$5.758 hourly,$4.011 hourly,$1.9014 hourly,$2.3006 hourly,$7.102 hourly,$5.355 hourly,,,$4.846 hourly,$3.034 hourly,$0.9894 hourly,$1.3886 hourly,,,,,$5.193 hourly,$3.272 hourly,,,,,,,$6.344 hourly,$4.597 hourly,$16.241 hourly,$14.494 hourly,$40.721 hourly,$38.974 hourly,>20%,,current,,,No,6.47x,,,,,,
INF1 Double Extra Large,inf1.2xlarge,inf1,"131,627.658",Machine Learning ASIC Instances,47.0 fps,16 GiB,2933 MT/s,No,,,,,,,,0 units,8 vCPUs,2.00 GiB/vCPU,1,AWS Inferentia,8 GiB,0,0,0.0000 units,Intel Xeon Platinum 8275CL (Cascade Lake),,,,,,EBS only,,,x86_64,Up to 25 Gigabit,1190 Mbps,148.75 MB/s,6000 IOPS,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,40,4,Yes,No,Yes,38,Yes,Yes,Yes,Unknown,No,,$0.362 hourly,$0.228 hourly,$0.0825 hourly,$0.0924 hourly,$0.477 hourly,$0.343 hourly,$0.1975 hourly,$0.2183 hourly,$0.617 hourly,$0.483 hourly,,,$0.487 hourly,$0.288 hourly,$0.2075 hourly,$0.2283 hourly,,,,,$5.193 hourly,$3.272 hourly,,,,,,,$0.497 hourly,$0.363 hourly,$1.322 hourly,$1.188 hourly,$3.362 hourly,$3.228 hourly,>20%,,current,,,No,1.57x,,,,,,
INF1 6xlarge,inf1.6xlarge,inf1,"382,637.809",Machine Learning ASIC Instances,137.0 fps,48 GiB,2933 MT/s,No,,,,,,,,0 units,24 vCPUs,2.00 GiB/vCPU,4,AWS Inferentia,32 GiB,0,0,0.0000 units,Intel Xeon Platinum 8275CL (Cascade Lake),,,,,,EBS only,,,x86_64,25 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,No,,$1.18 hourly,$0.744 hourly,$0.1807 hourly,$0.2193 hourly,$1.44 hourly,$1.003 hourly,$0.4407 hourly,$0.5051 hourly,$1.776 hourly,$1.339 hourly,,,$1.305 hourly,$0.804 hourly,$0.3057 hourly,$0.3701 hourly,,,,,$5.193 hourly,$3.272 hourly,,,,,,,$1.586 hourly,$1.149 hourly,$4.06 hourly,$3.624 hourly,$10.18 hourly,$9.744 hourly,>20%,,current,,,No,4.56x,,,,,,
INF1 Extra Large,inf1.xlarge,inf1,"65,773.247",Machine Learning ASIC Instances,26.0 fps,8 GiB,2933 MT/s,No,,,,,,,,0 units,4 vCPUs,2.00 GiB/vCPU,1,AWS Inferentia,8 GiB,0,0,0.0000 units,Intel Xeon Platinum 8275CL (Cascade Lake),,,,,,EBS only,,,x86_64,Up to 25 Gigabit,1190 Mbps,148.75 MB/s,4000 IOPS,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,40,4,Yes,No,Yes,38,Yes,Yes,Yes,Unknown,No,,$0.228 hourly,$0.144 hourly,$0.0426 hourly,$0.0462 hourly,$0.286 hourly,$0.201 hourly,$0.1006 hourly,$0.1099 hourly,$0.356 hourly,$0.271 hourly,,,$0.284 hourly,$0.194 hourly,$0.0986 hourly,$0.1079 hourly,,,,,$5.193 hourly,$3.272 hourly,,,,,,,$0.296 hourly,$0.211 hourly,$0.708 hourly,$0.624 hourly,$1.728 hourly,$1.644 hourly,>20%,,current,,,No,0.88x,,,,,,
INF2 24xlarge,inf2.24xlarge,inf2,"1,914,734.48",Machine Learning ASIC Instances,249.0 fps,384 GiB,3200 MT/s,Yes,2,12,24,48,189399 MB,96.0 MB,Yes,0 units,96 vCPUs,4.00 GiB/vCPU,6,AWS Inferentia2,192 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,2.95 GHz,,,,,EBS only,,,x86_64,50 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,No,,$6.4906 hourly,$4.0891 hourly,$1.713 hourly,$3.5563 hourly,$7.5274 hourly,$5.1259 hourly,$2.7498 hourly,$6.5008 hourly,,,,,,,,,,,,,$14.279 hourly,$8.996 hourly,,,,,,,,,,,,,>20%,,current,,,No,8.29x,,,,,,
INF2 48xlarge,inf2.48xlarge,inf2,,Machine Learning ASIC Instances,,768 GiB,,,,,,,,,,0 units,192 vCPUs,4.00 GiB/vCPU,12,AWS Inferentia2,384 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,2.95 GHz,,,,,EBS only,,,x86_64,100 Gigabit,60000 Mbps,7500 MB/s,240000 IOPS,60000 Mbps,7500 MB/s,240000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,No,,$12.9813 hourly,$8.1782 hourly,$3.5723 hourly,$10.1768 hourly,$14.8245 hourly,$10.0214 hourly,$5.4155 hourly,$14.8245 hourly,,,,,,,,,,,,,$14.279 hourly,$8.996 hourly,,,,,,,,,,,,,>20%,,current,,,,,,,,,,
INF2 Eight Extra Large,inf2.8xlarge,inf2,"692,340.978",Machine Learning ASIC Instances,198.0 fps,128 GiB,3200 MT/s,Yes,2,12,8,16,63069 MB,32.0 MB,Yes,0 units,32 vCPUs,4.00 GiB/vCPU,1,AWS Inferentia2,32 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,2.95 GHz,,,,,EBS only,,,x86_64,Up to 25 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,84,Yes,Yes,Yes,Unknown,No,,$1.9679 hourly,$1.2398 hourly,$0.5517 hourly,$0.9477 hourly,$2.3135 hourly,$1.5854 hourly,$0.8973 hourly,$1.6658 hourly,,,,,,,,,,,,,$14.279 hourly,$8.996 hourly,,,,,,,,,,,,,>20%,,current,,,No,6.59x,,,,,,
INF2 Extra Large,inf2.xlarge,inf2,"79,657.473",Machine Learning ASIC Instances,34.0 fps,16 GiB,3200 MT/s,No,,,,,,,,0 units,4 vCPUs,4.00 GiB/vCPU,1,AWS Inferentia2,32 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,2.95 GHz,,,,,EBS only,,,x86_64,Up to 15 Gigabit,1250 Mbps,156.25 MB/s,6000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,No,Yes,18,Yes,Yes,Yes,Unknown,No,,$0.7582 hourly,$0.4777 hourly,$0.1214 hourly,$0.1547 hourly,$0.8158 hourly,$0.5353 hourly,$0.179 hourly,$0.2572 hourly,,,,,,,,,,,,,$14.279 hourly,$8.996 hourly,,,,,,,,,,,,,>20%,,current,,,No,1.12x,,,,,,
IS4GEN Double Extra Large,is4gen.2xlarge,is4gen,"158,113.183",Storage optimized,51.0 fps,48 GiB,,No,,,,,,,,0 units,8 vCPUs,6.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,7500 GB NVMe SSD,Yes,Yes,arm64,Up to 25 Gigabit,5000 Mbps,625 MB/s,20000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,No,Yes,38,Yes,Yes,Yes,Unknown,Yes,,$1.1526 hourly,$0.7861 hourly,$0.3283 hourly,$0.37 hourly,$1.2678 hourly,$0.9013 hourly,$0.4435 hourly,$0.5592 hourly,$1.4078 hourly,$1.0413 hourly,,,$1.2776 hourly,$0.8461 hourly,$0.4533 hourly,$0.569 hourly,,,,,,,,,,,,,,,,,,,<5%,$0.2882 hourly,current,,,No,1.68x,,,,,,
IS4GEN Quadruple Extra Large,is4gen.4xlarge,is4gen,"312,723.956",Storage optimized,94.0 fps,96 GiB,,No,,,,,,,,0 units,16 vCPUs,6.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,15000 GB (2×7500 GB NVMe SSD),Yes,Yes,arm64,25 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$2.3052 hourly,$1.5722 hourly,$0.7266 hourly,$0.8043 hourly,$2.478 hourly,$1.745 hourly,$0.8994 hourly,$1.0704 hourly,$2.702 hourly,$1.969 hourly,,,$2.4302 hourly,$1.6322 hourly,$0.8516 hourly,$1.0226 hourly,,,,,,,,,,,,,,,,,,,<5%,$0.5763 hourly,current,,,No,3.12x,,,,,,
IS4GEN Eight Extra Large,is4gen.8xlarge,is4gen,"633,454.306",Storage optimized,149.0 fps,192 GiB,,No,,,,,,,,0 units,32 vCPUs,6.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,30000 GB (4×7500 GB NVMe SSD),Yes,Yes,arm64,50 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$4.6104 hourly,$3.1445 hourly,$0.9645 hourly,$1.2083 hourly,$4.956 hourly,$3.4901 hourly,$1.3101 hourly,$1.8313 hourly,$5.404 hourly,$3.9381 hourly,,,$4.7354 hourly,$3.2045 hourly,$1.0895 hourly,$1.6107 hourly,,,,,,,,,,,,,,,,,,,5-10%,$1.1526 hourly,current,,,No,4.96x,,,,,,
IS4GEN Large,is4gen.large,is4gen,"39,510.075",Storage optimized,13.0 fps,12 GiB,,No,,,,,,,,0 units,2 vCPUs,6.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,1875 GB NVMe SSD,Yes,Yes,arm64,Up to 25 Gigabit,1250 Mbps,156.25 MB/s,5000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,No,Yes,9,Yes,Yes,Yes,Unknown,No,,$0.2882 hourly,$0.1965 hourly,$0.0983 hourly,$0.1578 hourly,$0.317 hourly,$0.2253 hourly,$0.1271 hourly,$0.2732 hourly,$0.352 hourly,$0.2603 hourly,,,$0.3445 hourly,$0.2215 hourly,$0.1546 hourly,$0.3007 hourly,,,,,,,,,,,,,,,,,,,15-20%,,current,,,No,0.43x,,,,,,
IS4GEN Medium,is4gen.medium,is4gen,"19,781.089",Storage optimized,6.9 fps,6 GiB,,No,,,,,,,,0 units,1 vCPUs,6.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,937 GB NVMe SSD,Yes,Yes,arm64,Up to 25 Gigabit,625 Mbps,78.125 MB/s,2500 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,8,2,Yes,No,Yes,4,Yes,Yes,Yes,Unknown,No,,$0.1441 hourly,$0.0983 hourly,$0.0157 hourly,$0.0307 hourly,$0.1585 hourly,$0.1127 hourly,$0.0301 hourly,$0.0593 hourly,$0.176 hourly,$0.1302 hourly,,,$0.1751 hourly,$0.1113 hourly,$0.0467 hourly,$0.0759 hourly,,,,,,,,,,,,,,,,,,,10-15%,,current,,,No,0.23x,,,,,,
IS4GEN Extra Large,is4gen.xlarge,is4gen,"79,207.921",Storage optimized,26.0 fps,24 GiB,,No,,,,,,,,0 units,4 vCPUs,6.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,3750 GB NVMe SSD,Yes,Yes,arm64,Up to 25 Gigabit,2500 Mbps,312.5 MB/s,10000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,No,Yes,18,Yes,Yes,Yes,Unknown,Yes,,$0.5763 hourly,$0.3931 hourly,$0.1828 hourly,$0.2865 hourly,$0.6339 hourly,$0.4507 hourly,$0.2404 hourly,$0.5706 hourly,$0.7039 hourly,$0.5207 hourly,,,$0.6326 hourly,$0.4431 hourly,$0.2391 hourly,$0.5693 hourly,,,,,,,,,,,,,,,,,,,15-20%,$0.1441 hourly,current,,,No,0.85x,,,,,,
M1 General Purpose Large,m1.large,m1,"24,570.025",General purpose,8.9 fps,7.5 GiB,,No,,,,,,,,4 units,2 vCPUs,3.75 GiB/vCPU,0,,0 GiB,0,0,2.0000 units,Intel Xeon Family,,,,,,840 GB (2×420 GB HDD),Yes,,x86_64,Moderate,500 Mbps,62.5 MB/s,4000 IOPS,500 Mbps,62.5 MB/s,4000 IOPS,No,30,3,No,No,No,0,No,No,No,PV,Yes,,$0.175 hourly,$0.112 hourly,$0.0452 hourly,$0.0466 hourly,$0.204 hourly,$0.141 hourly,$0.0742 hourly,$0.0776 hourly,$0.24 hourly,,,,$0.275 hourly,$0.148 hourly,$0.1452 hourly,$0.1486 hourly,$0.299 hourly,$0.232 hourly,$0.1415 hourly,$0.1419 hourly,,,$0.435 hourly,$0.284 hourly,$0.955 hourly,$0.665 hourly,,,,,,,,,>20%,$0.044 hourly,previous,,,No,0.29x,,,,,,
M1 General Purpose Medium,m1.medium,m1,"16,889.039",General purpose,,3.75 GiB,,No,,,,,,,,2 units,1 vCPUs,3.75 GiB/vCPU,0,,0 GiB,0,0,2.0000 units,Intel Xeon Family,,,,,,410 GB HDD,Yes,,"i386, x86_64",Moderate,,,,,,,No,12,2,No,No,No,0,No,No,No,PV,Yes,,$0.087 hourly,$0.056 hourly,$0.0229 hourly,$0.0233 hourly,$0.101 hourly,$0.07 hourly,$0.0369 hourly,$0.0382 hourly,$0.12 hourly,,,,$0.187 hourly,$0.092 hourly,$0.1229 hourly,$0.1242 hourly,$0.149 hourly,$0.115 hourly,$0.0858 hourly,$0.089 hourly,,,$0.237 hourly,$0.155 hourly,$0.744 hourly,$0.543 hourly,,,,,,,,,>20%,$0.022 hourly,previous,,,,,,,,,,
M1 General Purpose Small,m1.small,m1,"16,880.486",General purpose,,1.7 GiB,,No,,,,,,,,1 units,1 vCPUs,1.70 GiB/vCPU,0,,0 GiB,0,0,1.0000 units,Intel Xeon Family,,,,,,160 GB HDD,Yes,,"i386, x86_64",Low,,,,,,,No,8,2,No,No,No,0,No,No,No,PV,Yes,,$0.044 hourly,$0.028 hourly,$0.0085 hourly,$0.0118 hourly,$0.058 hourly,$0.042 hourly,$0.0225 hourly,$0.0304 hourly,$0.076 hourly,,,,$0.074 hourly,$0.052 hourly,$0.0385 hourly,$0.0464 hourly,$0.075 hourly,$0.057 hourly,$0.0358 hourly,$0.0361 hourly,,,$0.139 hourly,$0.094 hourly,$0.629 hourly,$0.473 hourly,,,,,,,,,>20%,$0.011 hourly,previous,,,,,,,,,,
M1 General Purpose Extra Large,m1.xlarge,m1,"48,649.964",General purpose,17.0 fps,15 GiB,,No,,,,,,,,8 units,4 vCPUs,3.75 GiB/vCPU,0,,0 GiB,0,0,2.0000 units,Intel Xeon Family,,,,,,1680 GB (4×420 GB HDD),Yes,,x86_64,High,1000 Mbps,125 MB/s,8000 IOPS,1000 Mbps,125 MB/s,8000 IOPS,No,60,4,No,No,No,0,No,No,No,PV,Yes,,$0.35 hourly,$0.224 hourly,$0.1067 hourly,$0.118 hourly,$0.41 hourly,$0.282 hourly,$0.1667 hourly,$0.2091 hourly,$0.48 hourly,,,,$0.45 hourly,$0.26 hourly,$0.2067 hourly,$0.2491 hourly,$0.598 hourly,$0.465 hourly,$0.283 hourly,$0.283 hourly,,,$0.83 hourly,$0.543 hourly,$1.362 hourly,$0.906 hourly,,,,,,,,,>20%,$0.088 hourly,previous,,,No,0.56x,,,,,,
M2 High Memory Double Extra Large,m2.2xlarge,m2,"58,757.283",Memory optimized,20.0 fps,34.2 GiB,,No,,,,,,,,13 units,4 vCPUs,8.55 GiB/vCPU,0,,0 GiB,0,0,3.2500 units,Intel Xeon Family,,,,,,850 GB HDD,Yes,,x86_64,Moderate,500 Mbps,62.5 MB/s,4000 IOPS,500 Mbps,62.5 MB/s,4000 IOPS,No,120,4,No,No,No,0,No,No,No,PV,Yes,,$0.49 hourly,$0.222 hourly,$0.1862 hourly,$0.1929 hourly,$0.55 hourly,$0.28 hourly,$0.2462 hourly,$0.2694 hourly,,,,,$0.59 hourly,$0.258 hourly,$0.2862 hourly,$0.3094 hourly,$0.69 hourly,$0.496 hourly,$0.2491 hourly,$0.2543 hourly,,,$0.85 hourly,$0.622 hourly,$1.489 hourly,$0.944 hourly,,,,,,,,,>20%,$0.123 hourly,previous,,,No,0.68x,,,,,,
M2 High Memory Quadruple Extra Large,m2.4xlarge,m2,"111,322.418",Memory optimized,38.0 fps,68.4 GiB,,No,,,,,,,,26 units,8 vCPUs,8.55 GiB/vCPU,0,,0 GiB,0,0,3.2500 units,Intel Xeon Family,,,,,,1680 GB (2×840 GB HDD),Yes,,x86_64,High,1000 Mbps,125 MB/s,8000 IOPS,1000 Mbps,125 MB/s,8000 IOPS,No,240,8,No,No,No,0,No,No,No,PV,Yes,,$0.98 hourly,$0.444 hourly,$0.4465 hourly,$0.4776 hourly,$1.10 hourly,$0.559 hourly,$0.5665 hourly,$0.6533 hourly,,,,,$1.08 hourly,$0.48 hourly,$0.5465 hourly,$0.6333 hourly,$1.38 hourly,$0.991 hourly,$0.498 hourly,$0.5025 hourly,,,$1.70 hourly,$1.245 hourly,$2.976 hourly,$1.887 hourly,,,,,,,,,>20%,$0.246 hourly,previous,,,No,1.25x,,,,,,
M2 High Memory Extra Large,m2.xlarge,m2,"28,403.711",Memory optimized,10.0 fps,17.1 GiB,,No,,,,,,,,6.5 units,2 vCPUs,8.55 GiB/vCPU,0,,0 GiB,0,0,3.2500 units,Intel Xeon Family,,,,,,420 GB HDD,Yes,,x86_64,Moderate,,,,,,,No,60,4,No,No,No,0,No,No,No,PV,Yes,,$0.245 hourly,$0.111 hourly,$0.0771 hourly,$0.0908 hourly,$0.274 hourly,$0.14 hourly,$0.1061 hourly,$0.1389 hourly,,,,,$0.345 hourly,$0.147 hourly,$0.1771 hourly,$0.2099 hourly,$0.345 hourly,$0.249 hourly,$0.1245 hourly,$0.1262 hourly,,,$0.445 hourly,$0.323 hourly,$1.084 hourly,$0.728 hourly,,,,,,,,,>20%,$0.062 hourly,previous,,,No,0.34x,,,,,,
M3 General Purpose Double Extra Large,m3.2xlarge,m3,"116,759.912",General purpose,42.0 fps,30 GiB,,No,,,,,,,,26 units,8 vCPUs,3.75 GiB/vCPU,0,,0 GiB,0,0,3.2500 units,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),2.5 GHz,Yes,,,Yes,160 GB (2×80 GB SSD),Yes,Yes,x86_64,High,1000 Mbps,125 MB/s,8000 IOPS,1000 Mbps,125 MB/s,8000 IOPS,No,120,4,No,No,No,0,No,No,No,Unknown,Yes,,$0.532 hourly,$0.38 hourly,$0.2337 hourly,$0.27 hourly,$0.651 hourly,$0.46 hourly,$0.3527 hourly,$0.4768 hourly,,,,,$0.632 hourly,$0.413 hourly,$0.3337 hourly,$0.4578 hourly,$1.036 hourly,$0.793 hourly,$0.5572 hourly,$0.5648 hourly,$2.341 hourly,,$1.468 hourly,$0.957 hourly,$2.532 hourly,$1.661 hourly,$3.90 hourly,$3.756 hourly,$0.671 hourly,$0.48 hourly,$1.496 hourly,$1.305 hourly,$3.536 hourly,$3.345 hourly,<5%,$0.14 hourly,previous,,,No,1.38x,,,,,,
M3 General Purpose Large,m3.large,m3,"29,279.719",General purpose,11.0 fps,7.5 GiB,,No,,,,,,,,6.5 units,2 vCPUs,3.75 GiB/vCPU,0,,0 GiB,0,0,3.2500 units,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),2.5 GHz,Yes,,,Yes,32 GB SSD,Yes,Yes,x86_64,Moderate,,,,,,,No,30,3,No,No,No,0,No,No,No,Unknown,No,,$0.133 hourly,$0.095 hourly,$0.0428 hourly,$0.0583 hourly,$0.163 hourly,$0.115 hourly,$0.0728 hourly,$0.1319 hourly,,,,,$0.233 hourly,$0.128 hourly,$0.1428 hourly,$0.2019 hourly,$0.259 hourly,$0.199 hourly,$0.1404 hourly,$0.1406 hourly,$2.341 hourly,,$0.367 hourly,$0.239 hourly,$0.704 hourly,$0.442 hourly,,,$0.202 hourly,$0.154 hourly,$0.614 hourly,$0.566 hourly,,,<5%,,previous,,,No,0.36x,,,,,,
